定义,窗口,方向,观察数,开始,结束,策略年化,同域年化,年化超额,事件边界回撤,近似日频回撤,下跌事件策略均值,下跌事件同域均值,2025至2026策略年化,2025至2026同域年化,事件均值超额,高减低事件均值,换手和均值,风险退出次数,决定
窗口涨跌幅除窗口均额,5,高冲击,279,2018-01-11,2026-07-13,0.076335,0.108060,-0.031725,-0.281819,-0.285376,-0.013238,-0.014521,0.114237,0.210647,-0.000879,0.002693,1.360573,3,预设方向组长期与近期均负超额；不晋级
窗口涨跌幅除窗口均额,5,低冲击,279,2018-01-11,2026-07-13,-0.018320,0.108060,-0.126380,-0.497629,-0.515222,-0.018014,-0.014521,0.046720,0.210647,-0.003572,,1.532975,74,只作方向对照；不构成低冲击策略
窗口涨跌幅除窗口均额,20,高冲击,277,2018-01-31,2026-07-13,0.069038,0.105683,-0.036646,-0.218190,-0.225374,-0.012964,-0.014587,0.120111,0.207290,-0.001025,0.001750,1.068953,3,预设方向组长期与近期均负超额；不晋级
窗口涨跌幅除窗口均额,20,低冲击,277,2018-01-31,2026-07-13,0.007264,0.105683,-0.098419,-0.420992,-0.431023,-0.016731,-0.014587,0.132760,0.207290,-0.002775,,1.415523,64,只作方向对照；不构成低冲击策略
窗口涨跌幅除窗口均额,60,高冲击,270,2018-04-11,2026-07-13,0.082687,0.104896,-0.022209,-0.222095,-0.235424,-0.013075,-0.014836,0.176616,0.206375,-0.000612,0.002670,0.802963,8,预设方向组长期与近期均负超额；不晋级
窗口涨跌幅除窗口均额,60,低冲击,270,2018-04-11,2026-07-13,-0.009454,0.104896,-0.114351,-0.430952,-0.441745,-0.016891,-0.014836,0.027051,0.206375,-0.003282,,1.305185,49,只作方向对照；不构成低冲击策略
逐日绝对收益除逐日额再平均,5,高冲击,279,2018-01-11,2026-07-13,0.062306,0.108060,-0.045755,-0.270553,-0.271591,-0.012951,-0.014521,0.118135,0.210647,-0.001323,0.002369,1.117921,2,经典 Amihud 边界同样长期与近期负超额；不晋级
逐日绝对收益除逐日额再平均,5,低冲击,279,2018-01-11,2026-07-13,-0.029694,0.108060,-0.137754,-0.541585,-0.564838,-0.020245,-0.014521,0.096378,0.210647,-0.003692,,0.831183,114,只作方向对照；不构成低冲击策略
逐日绝对收益除逐日额再平均,20,高冲击,277,2018-01-31,2026-07-13,0.076349,0.105683,-0.029335,-0.229244,-0.229244,-0.012989,-0.014587,0.128428,0.207290,-0.000842,0.001932,0.511191,3,经典 Amihud 边界同样长期与近期负超额；不晋级
逐日绝对收益除逐日额再平均,20,低冲击,277,2018-01-31,2026-07-13,0.000588,0.105683,-0.105096,-0.450965,-0.464547,-0.018869,-0.014587,0.173541,0.207290,-0.002773,,0.393141,86,只作方向对照；不构成低冲击策略
逐日绝对收益除逐日额再平均,60,高冲击,270,2018-04-11,2026-07-13,0.093099,0.104896,-0.011797,-0.175378,-0.179851,-0.012847,-0.014836,0.145431,0.206375,-0.000359,0.002165,0.244444,3,防守优于其他窗口但长期与近期仍负超额；不晋级
逐日绝对收益除逐日额再平均,60,低冲击,270,2018-04-11,2026-07-13,0.010822,0.104896,-0.094075,-0.412292,-0.423068,-0.017046,-0.014836,0.096246,0.206375,-0.002524,,0.200000,69,只作方向对照；不构成低冲击策略
