bond_code,date,open_sina,close_em,conv_premium,double_low,double_low_z252,balance_bil,contract_maturity,call_notice_date,tail_risk_date,st_risk_active,eligible_common,exclusion_reasons,b0_base_score,b0_base_rank,c_bal_score,c_bal_rank,c_off_score,c_off_rank,selected_flags
110084,2026-07-10,126.678,127.13,45.8195476575,172.9495476575,1.7633388735835975,8.15697,2027-12-27,,,False,True,,172.9495476575,25.0,1.7633388735835975,110.0,1.3101604278074865,70.0,
110085,2026-07-10,115.49,114.683,249.2985739437,363.9815739437,2.8263737549571717,119.83192000000001,2028-02-24,,,False,True,,363.9815739437,221.0,2.8263737549571717,172.0,2.8502673796791442,187.0,
110086,2026-07-10,121.679,121.003,71.7340714286,192.73707142860002,1.998861496697031,20.0,2028-04-22,,,False,True,,192.73707142860002,76.0,1.998861496697031,130.0,1.927807486631016,144.0,
110087,2026-07-10,121.766,120.804,63.8020338983,184.6060338983,0.9281701333597714,29.976,2028-06-23,,,False,True,,184.6060338983,51.0,0.9281701333597714,68.0,1.5294117647058822,101.0,
110090,2026-07-10,132.979,133.704,65.4418181818,199.1458181818,2.3655423315937987,15.69529,2028-09-23,,,False,True,,199.1458181818,96.0,2.3655423315937987,156.0,2.122994652406417,170.0,
110093,2026-07-10,118.265,120.038,66.6506941581,186.6886941581,2.21868730822541,22.199939999999998,2029-03-16,,,False,True,,186.6886941581,59.0,2.21868730822541,147.0,1.9518716577540105,150.0,
110095,2026-07-10,117.98,120.941,62.4816043478,183.42260434780002,1.6663010010375918,14.0062,2029-08-08,,,False,True,,183.42260434780002,49.0,1.6663010010375918,101.0,1.5668449197860963,104.0,
110097,2026-07-10,135.199,135.906,43.993549806,179.899549806,1.3184052945827867,9.8901,2030-10-24,,,False,True,,179.899549806,38.0,1.3184052945827867,88.0,1.3368983957219251,75.0,
110098,2026-07-10,135.69,136.969,33.2016797642,170.1706797642,1.1669899134159714,10.813828509,2030-12-25,,,False,True,,170.1706797642,21.0,1.1669899134159714,79.0,1.2352941176470589,59.0,
110099,2026-07-10,144.105,141.664,34.8137098646,176.4777098646,,38.02,2031-10-13,,,False,True,,176.4777098646,31.0,,,,,
110100,2026-07-10,121.5,122.563,81.2992619808,203.86226198079999,,10.0,2032-01-22,,,False,True,,203.86226198079999,109.0,,,,,
111002,2026-07-10,143.574,142.874,28.4913506667,171.3653506667,0.45918177213867284,6.618930000000001,2027-12-08,,,False,True,,171.3653506667,23.0,0.45918177213867284,46.0,0.839572192513369,20.0,C_OFF
111003,2026-07-10,131.976,131.614,75.3303109541,206.9443109541,2.3294420821019086,2.035094,2028-03-07,,,False,True,,206.9443109541,116.0,2.3294420821019086,154.0,1.4491978609625666,88.0,
111004,2026-07-10,124.168,125.494,85.5757754854,211.0697754854,3.3128523012480198,6.715194,2028-03-30,,,False,True,,211.0697754854,124.0,3.3128523012480198,186.0,2.0962566844919786,165.0,
111009,2026-07-10,121.85,122.514,119.7307406143,242.24474061429999,2.2695005488467004,7.01028764,2028-11-07,,,False,True,,242.24474061429999,174.0,2.2695005488467004,151.0,2.1016042780748663,166.0,
