diagnostic,variant,sample,events,mean_return,mean_market_return,mean_gross_excess,median_gross_excess,winsorized_5_95_mean_gross_excess,market_down_events,market_down_mean_return,market_down_mean_market_return,market_down_mean_excess,mean_net_excess_10bp_each_way,judgment
公告合同,巨潮去重回售公告,2018-01至2026-07,2592,,,,,,,,,,,免费官方路径成立
公告合同,回售结果周期,2018-06至2026-07,402,,,,,,,,,,,271次附加回售；121次正常条件回售；1次单券选择回售；5次定向或特殊债；4次公司债误命中
公告合同,映射免费行情后的公开转债周期,2018-06至2026-07,393,,,,,,,,,,,已知强赎与特殊风险过滤后为388次
事件收益,正常条件回售_公告后次日开盘持有1日,2018-07至2026-07,118,-0.000216,0.000794,-0.001009,-0.000522,-0.000969,48,-0.003646,-0.006064,0.002417,-0.003009,有短期相对抗跌但无绝对收益与超额
事件收益,正常条件回售_公告后次日开盘持有5日,2018-07至2026-07,118,-0.000307,0.002966,-0.003273,-0.002857,-0.003021,52,-0.008232,-0.012723,0.004490,-0.005273,有限相对防守；不进入收益排名
事件收益,正常条件回售_公告后次日开盘持有20日,2018-07至2026-06,114,0.002649,0.016413,-0.013764,-0.010249,-0.013573,42,-0.018273,-0.019017,0.000744,-0.015764,长期明显跑输同域
事件收益,募投变更附加回售_公告后次日开盘持有1日,2018-06至2026-07,267,-0.001765,-0.000125,-0.001640,-0.000750,-0.001251,132,-0.008075,-0.005927,-0.002148,-0.003640,不是防守事件
事件收益,募投变更附加回售_公告后次日开盘持有5日,2018-06至2026-07,267,-0.000932,0.002414,-0.003346,-0.005384,-0.004832,120,-0.019771,-0.013105,-0.006666,-0.005346,负面公司事件；不进入进攻或防守排名
事件收益,募投变更附加回售_公告后次日开盘持有20日,2018-06至2026-06,266,0.014791,0.007931,0.006860,-0.008187,-0.002907,115,-0.012446,-0.026252,0.013806,0.004860,正均值由极端反弹拉动；中位与缩尾均为负
价格距离,正常条件回售_公告后开盘距回售价不超过1%,2018-07至2024-09,7,0.001012,0.008754,-0.007743,-0.012092,-0.007674,2,0.000160,-0.014717,0.014877,-0.009743,合同底有抗跌机制但样本极少且无超额
申报结果,可抽取有效申报张数的公开转债周期,2018-07至2026-07,393,,,,,,,,,,,154次为零；239次大于零；正申报中位30张
申报结果,申报量超过原始发行规模1%的周期,2018-09至2024-09,18,,,,,,,,,,,9次超过10%；6次超过50%；须修正余额并复核退出
申报结果,附加回售中申报量超过原始发行规模1%,2019-02至2024-09,8,,,,,,,,,,,5次超过10%；3次超过50%
申报结果,正常条件回售中申报量超过原始发行规模1%,2018-09至2024-09,10,,,,,,,,,,,4次超过10%；3次超过50%
余额校正,沪市正申报回售并入余额事件账,2018-07至2026-07,87,,,,,,,,,,,64只转债；合计15.0962亿元；结果公告后首个观测日生效
余额校正,校正前后低余额Top20周超额变化,2018-07至2026-07,437,,,-0.000020,,,,,,,,全期仅降0.20bp/周；不改变近期失效结论
余额校正,校正后低余额Top20,2018-07至2026-07,437,0.003355,0.002042,0.001313,,,,-0.017169,-0.013203,-0.003966,,进攻暴露；2025至2026周超额-0.294%
余额校正,校正后双低+低余额等权排名,2018-07至2026-07,437,0.004517,0.002042,0.002475,,,,-0.011837,-0.013203,0.001367,,全期有方向；2025至2026周超额-0.124%
