bond_code,bond_name,market,exit_reason,notice_date,record_date,master_execute_date,holder_cash_date,execute_price,source_status,announcement_url
113512,景旺转债,SH,forced_redemption,2019-04-10,2019-04-23,2019-04-24,2019-04-24,100.32,master_field_semantics_sampled,
113506,鼎信转债,SH,forced_redemption,2019-04-11,2019-04-26,2019-04-29,2019-04-29,100.014,master_field_semantics_sampled,
123008,康泰转债,SZ,forced_redemption,2019-03-22,2019-05-06,2019-05-07,2019-05-14,100.13,cninfo_ok,https://static.cninfo.com.cn/finalpage/2019-05-15/1206267149.PDF
113018,常熟转债,SH,forced_redemption,2019-04-17,2019-05-16,2019-05-17,2019-05-17,100.16,master_field_semantics_sampled,
113513,安井转债,SH,forced_redemption,2019-06-20,2019-07-04,2019-07-05,2019-07-05,100.29,master_field_semantics_sampled,
127010,平银转债,SZ,forced_redemption,2019-08-21,2019-09-18,2019-09-19,2019-09-26,100.13,cninfo_ok,https://static.cninfo.com.cn/finalpage/2019-09-27/1206952334.PDF
127009,冰轮转债,SZ,forced_redemption,2019-08-29,2019-10-14,2019-10-15,2019-10-22,100.3,cninfo_ok,https://static.cninfo.com.cn/finalpage/2019-10-23/1207003165.PDF
128047,光电转债,SZ,forced_redemption,2019-09-17,2019-10-29,2019-10-30,2019-11-06,100.2,cninfo_ok,https://static.cninfo.com.cn/finalpage/2019-11-07/1207070779.PDF
113507,天马转债,SH,forced_redemption,2019-11-01,2019-11-18,2019-11-19,2019-11-19,100.353,master_field_semantics_sampled,
113529,绝味转债,SH,forced_redemption,2019-11-07,2019-11-21,2019-11-22,2019-11-22,100.281,master_field_semantics_sampled,
110049,海尔转债,SH,forced_redemption,2019-11-29,2019-12-16,2019-12-17,2019-12-17,100.2,master_field_semantics_sampled,
113533,参林转债,SH,forced_redemption,2020-01-10,2020-01-16,2020-01-17,2020-01-17,100.238,master_field_semantics_sampled,
113523,伟明转债,SH,forced_redemption,2020-01-16,2020-02-05,2020-02-06,2020-02-06,100.094,master_field_semantics_sampled,
113538,安图转债,SH,forced_redemption,2020-02-11,2020-02-18,2020-02-19,2020-02-19,100.194,master_field_semantics_sampled,
128068,和而转债,SZ,forced_redemption,2020-01-08,2020-02-19,2020-02-20,2020-02-27,100.29,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-02-28/1207329139.PDF
113522,旭升转债,SH,forced_redemption,2020-02-18,2020-02-27,2020-02-28,2020-02-28,100.159,master_field_semantics_sampled,
113539,圣达转债,SH,forced_redemption,2020-03-02,2020-03-10,2020-03-11,2020-03-11,100.413,master_field_semantics_sampled,
110054,通威转债,SH,forced_redemption,2020-03-04,2020-03-16,2020-03-17,2020-03-17,100.499,master_field_semantics_sampled,
123016,洲明转债,SZ,forced_redemption,2020-02-04,2020-03-11,2020-03-12,2020-03-19,100.28,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-03-19/1207386643.PDF
110046,圆通转债,SH,forced_redemption,2020-02-28,2020-03-20,2020-03-23,2020-03-23,100.27,master_field_semantics_sampled,
113510,再升转债,SH,forced_redemption,2020-03-10,2020-03-24,2020-03-25,2020-03-25,100.459,master_field_semantics_sampled,
113540,南威转债,SH,forced_redemption,2020-03-16,2020-03-24,2020-03-25,2020-03-25,100.347,master_field_semantics_sampled,
128061,启明转债,SZ,forced_redemption,2020-02-07,2020-03-17,2020-03-18,2020-03-25,100.39,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-03-26/1207405015.PDF
123009,星源转债,SZ,forced_redemption,2020-02-25,2020-03-19,2020-03-20,2020-03-27,100.03,cninfo_scheduled_only,https://static.cninfo.com.cn/finalpage/2020-03-27/1207417210.PDF
128060,中装转债,SZ,forced_redemption,2020-02-08,2020-03-19,2020-03-20,2020-03-27,100.39,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-03-28/1207416410.PDF
113517,曙光转债,SH,forced_redemption,2020-03-13,2020-03-30,2020-03-31,2020-03-31,100.39,master_field_semantics_sampled,
123019,中来转债,SZ,forced_redemption,2020-03-05,2020-03-25,2020-03-26,2020-04-02,100.06,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-04-03/1207451881.PDF
128038,利欧转债,SZ,forced_redemption,2020-02-25,2020-03-30,2020-03-31,2020-04-08,100.02,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-04-09/1207467703.PDF
110050,佳都转债,SH,forced_redemption,2020-03-26,2020-04-08,2020-04-09,2020-04-09,100.18,master_field_semantics_sampled,
123021,万信转2,SZ,forced_redemption,2020-03-03,2020-04-13,2020-04-14,2020-04-21,100.07,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-04-22/1207549916.PDF
128055,长青转2,SZ,forced_redemption,2020-03-11,2020-04-16,2020-04-17,2020-04-24,100.1,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-04-25/1207606987.PDF
113531,百姓转债,SH,forced_redemption,2020-04-30,2020-05-20,2020-05-21,2020-05-21,100.058,master_field_semantics_sampled,
113511,千禾转债,SH,forced_redemption,2020-04-09,2020-05-28,2020-05-29,2020-05-29,100.471,master_field_semantics_sampled,
113515,高能转债,SH,forced_redemption,2020-05-20,2020-06-17,2020-06-18,2020-06-18,100.538,master_field_semantics_sampled,
113551,福特转债,SH,forced_redemption,2020-07-01,2020-07-15,2020-07-16,2020-07-16,100.263,master_field_semantics_sampled,
128054,中宠转债,SZ,forced_redemption,2020-06-06,2020-07-14,2020-07-15,2020-07-22,100.25,cninfo_ok,https://static.cninfo.com.cn/finalpage/2020-07-23/1208058853.PDF
