start_date,end_date,return
2018-01-11,2018-01-22,0.009316078365617653
2018-01-23,2018-01-30,0.005555325887619311
2018-01-31,2018-02-12,-0.027501443325023578
2018-02-13,2018-02-22,0.01702145011816336
2018-02-23,2018-02-28,0.006833677716983733
2018-03-01,2018-03-12,0.013297987311298609
2018-03-13,2018-03-20,-0.0036627974664236174
2018-03-21,2018-03-30,0.007072158751724178
2018-04-02,2018-04-10,0.003140991406442417
2018-04-11,2018-04-20,-0.007355905747120639
2018-04-23,2018-05-10,0.0220181516141289
2018-05-11,2018-05-21,-0.0012178852005956253
2018-05-22,2018-05-30,-0.040252601961409784
2018-05-31,2018-06-11,0.004152191744777989
2018-06-12,2018-06-20,-0.04702782132596117
2018-06-21,2018-07-10,0.015511036887334573
2018-07-11,2018-07-20,0.0280542876361054
2018-07-23,2018-07-30,-0.009176118699991909
2018-07-31,2018-08-10,-0.0033866182379203025
2018-08-13,2018-08-20,-0.020188680702616146
2018-08-21,2018-08-30,0.012725771725111912
2018-08-31,2018-09-10,-0.013070306836978518
2018-09-11,2018-09-20,0.0033745812012351273
2018-09-21,2018-10-10,-0.011841399230661631
2018-10-11,2018-10-22,-0.023974025412812683
2018-10-23,2018-10-30,0.005455070295558473
2018-10-31,2018-11-12,0.03554044019165725
2018-11-13,2018-11-20,0.012712977801577985
2018-11-21,2018-11-30,-0.008693427616606186
2018-12-03,2018-12-10,0.005500603854565078
2018-12-11,2018-12-20,-0.010722319394251834
2018-12-21,2019-01-10,0.041831983120234506
2019-01-11,2019-01-21,0.017195441067366257
2019-01-22,2019-01-30,-0.013042447995135542
2019-01-31,2019-02-11,0.022774220084611274
2019-02-12,2019-02-20,0.06713197379260616
2019-02-21,2019-02-28,0.04821275547897419
2019-03-01,2019-03-11,0.11105272049844661
2019-03-12,2019-03-20,0.028348946396884456
2019-03-21,2019-04-10,0.03166181172669824
2019-04-11,2019-04-22,-0.016515395332083016
2019-04-23,2019-04-30,-0.0653792372352685
2019-05-06,2019-05-10,-0.004102550491662749
2019-05-13,2019-05-20,-0.009964704739246155
2019-05-21,2019-05-30,-0.0032093455621023947
2019-05-31,2019-06-10,-0.029658396924159836
2019-06-11,2019-06-20,0.03617853849751773
2019-06-21,2019-07-10,0.00796613924345868
2019-07-11,2019-07-22,-0.009225211697844848
2019-07-23,2019-07-30,0.018581862939935023
2019-07-31,2019-08-12,-0.012252753078528023
2019-08-13,2019-08-20,0.029493097802279378
2019-08-21,2019-08-30,0.008629213849456363
2019-09-02,2019-09-10,0.05330067062594246
2019-09-11,2019-09-20,-0.008986512346505604
2019-09-23,2019-09-30,-0.0022401045925173335
2019-10-08,2019-10-10,0.012493665780191732
2019-10-11,2019-10-21,-0.005541116642743149
2019-10-22,2019-10-30,-0.0018101997482197207
2019-10-31,2019-11-11,-0.0003377626246360288
2019-11-12,2019-11-20,0.0013134796463269982
2019-11-21,2019-12-10,0.005286041776636052
2019-12-11,2019-12-20,0.0399127693111756
2019-12-23,2019-12-30,0.0090021446076185
2019-12-31,2020-01-10,0.04964056574714615
2020-01-13,2020-01-20,-0.0038185926063387665
2020-01-21,2020-02-10,0.0037315158926358727
2020-02-11,2020-02-20,0.04384960446573616
2020-02-21,2020-03-10,0.03472297668041047
2020-03-11,2020-03-20,0.09058632465270344
2020-03-23,2020-03-30,-0.030921277521215873
2020-03-31,2020-04-10,-0.004397186620483384
2020-04-13,2020-04-20,0.029638957618211004
2020-04-21,2020-04-30,-0.009462055506195721
2020-05-06,2020-05-11,-0.0007820419520001565
2020-05-12,2020-05-20,-0.04365235425901692
2020-05-21,2020-06-10,0.039694451649607165
2020-06-11,2020-06-22,0.001284933180189407
2020-06-23,2020-06-30,-0.006669556513267616
2020-07-01,2020-07-10,0.06185735909025292
2020-07-13,2020-07-20,0.008206714662971626
2020-07-21,2020-07-30,0.016527872555683887
2020-07-31,2020-08-10,0.018844696471529865
2020-08-11,2020-08-20,0.0025564823686576865
2020-08-21,2020-08-31,0.004319702846076856
2020-09-01,2020-09-10,-0.015223061422755535
2020-09-11,2020-09-21,0.035427583252756856
2020-09-22,2020-09-30,-0.03695263677368288
2020-10-09,2020-10-12,0.04780033208306822
2020-10-13,2020-10-20,0.017338365334226946
2020-10-21,2020-10-30,-0.01832647161518941
2020-11-02,2020-11-10,0.018698279088005032
2020-11-11,2020-11-20,-6.817563313465946e-05
2020-11-23,2020-11-30,0.008356902747602923
2020-12-01,2020-12-10,-0.0050676014475287134
2020-12-11,2020-12-21,-0.017239427269096996
2020-12-22,2020-12-30,-0.032749588120674744
2020-12-31,2021-01-11,-0.017363118490208107
2021-01-12,2021-01-20,0.01037094656669213
2021-01-21,2021-02-10,-0.06539722961860772
2021-02-18,2021-02-22,0.05475478907970177
2021-02-23,2021-03-10,0.035085847669303005
2021-03-11,2021-03-22,0.04733450336773659
2021-03-23,2021-03-30,-0.02278076096068571
2021-03-31,2021-04-12,0.013994907880672036
2021-04-13,2021-04-20,0.019123322440738777
2021-04-21,2021-04-30,0.004225737686478492
2021-05-06,2021-05-10,0.008794423503983406
2021-05-11,2021-05-20,0.010882441108475804
2021-05-21,2021-05-31,0.022239801507458523
2021-06-01,2021-06-10,0.003023232224922179
2021-06-11,2021-06-21,0.0010909586263259108
2021-06-22,2021-06-30,0.014931688328013726
2021-07-01,2021-07-12,0.016901523507866
2021-07-13,2021-07-20,0.0071202163917210015
2021-07-21,2021-07-30,0.014999759688274272
2021-08-02,2021-08-10,0.03628923376840998
2021-08-11,2021-08-20,0.008601969358905892
2021-08-23,2021-08-30,0.02620137528011557
2021-08-31,2021-09-10,0.0524830689435849
2021-09-13,2021-09-22,-0.03248029431441435
2021-09-23,2021-09-30,-0.005320342662675337
2021-10-08,2021-10-11,0.006656247349739353
2021-10-12,2021-10-20,-0.0015581833305845505
2021-10-21,2021-11-10,0.003900194463838602
2021-11-11,2021-11-22,0.023531237174666098
2021-11-23,2021-11-30,0.005151550505992697
2021-12-01,2021-12-10,-0.0027960886679628816
2021-12-13,2021-12-20,0.009462234026213823
2021-12-21,2021-12-30,0.018044063267971255
2021-12-31,2022-01-10,0.04446884375368931
2022-01-11,2022-01-20,0.015987989519894885
2022-01-21,2022-02-10,0.0040907419785716215
2022-02-11,2022-02-21,-0.020403921630707256
2022-02-22,2022-02-28,-0.002428899596357059
2022-03-01,2022-03-10,-0.03883998386107235
2022-03-11,2022-03-21,0.021922123870491417
2022-03-22,2022-03-30,-0.016867114915060544
2022-03-31,2022-04-11,0.005646748121640233
2022-04-12,2022-04-20,-0.011915104586956105
2022-04-21,2022-05-10,-0.005108309104882358
2022-05-11,2022-05-20,0.013745672110527574
2022-05-23,2022-05-30,-0.010062130915139522
2022-05-31,2022-06-10,0.016843973129126555
2022-06-13,2022-06-20,-0.00462757998002028
2022-06-21,2022-06-30,0.009392674523286404
2022-07-01,2022-07-11,0.0075309247234573995
2022-07-12,2022-07-20,0.009790145099446423
2022-07-21,2022-08-10,-0.005808383707908371
2022-08-11,2022-08-22,0.02229310983367916
2022-08-23,2022-08-30,-0.009650399672287424
2022-08-31,2022-09-13,0.008826072559461995
2022-09-14,2022-09-20,-0.014297770301656909
2022-09-21,2022-09-30,-0.016646469130702557
2022-10-10,2022-10-10,-0.003337033638540876
