stock_return_contract,variant,weeks,mean_ic,mean_weekly_top20_excess,excess_win_rate,down_week_top20,down_week_market,up_week_top20,up_week_market,2018_2020_excess,2021_2022_excess,2023_2024_excess,2025_2026_excess,closed_period_missing_rate,first_gate_decision
sina_qfq,double_low_on_g_universe,406,0.049834,0.001654,0.562963,-0.010147,-0.013457,0.015416,0.015114,0.003083,0.002120,0.002623,-0.002411,0.007531,G合格域的同口径双低基线
sina_qfq,stock_momentum20_high,406,0.000852,0.001454,0.508642,-0.017207,-0.013457,0.020814,0.015114,0.003204,0.000831,-0.001086,0.002782,0.002099,进攻明显但阶段翻转且防守差
sina_qfq,g_raw_low,406,0.026480,0.001385,0.523457,-0.014107,-0.013457,0.018159,0.015114,0.003315,0.002066,-0.000714,0.000184,0.002716,有方向但不能解释为Delta调整误定价
sina_qfq,g_premium_neutral_low,406,0.024851,0.001295,0.520988,-0.013380,-0.013457,0.017401,0.015114,0.003343,0.001240,0.000131,-0.000337,0.002593,保留为进攻挑战但正股动量暴露极高
sina_qfq,g_premium_and_stock_momentum_neutral_low,406,0.045904,0.000600,0.498765,-0.016213,-0.013457,0.018452,0.015114,0.002678,0.000776,-0.001226,-0.000529,控制正股动量后增量减半且近两段为负
sina_qfq,double_low_plus_g_premium_neutral_equal_rank,406,0.052024,0.002507,0.567901,-0.010734,-0.013457,0.017444,0.015114,0.003498,0.002996,0.003271,-0.000643,0.004321,相对双低有进攻增量但近期仍负且防守略弱
unadjusted_close,double_low_on_g_universe,406,0.049834,0.001654,0.562963,-0.010147,-0.013457,0.015416,0.015114,0.003083,0.002120,0.002623,-0.002411,0.007531,同口径双低基线不受股票复权影响
unadjusted_close,stock_momentum20_high,406,-0.000092,0.001562,0.493827,-0.017110,-0.013457,0.020932,0.015114,0.002754,0.001465,-0.000789,0.002838,与前复权方向一致
unadjusted_close,g_raw_low,406,0.025321,0.001359,0.528395,-0.014127,-0.013457,0.018128,0.015114,0.003127,0.002248,-0.000727,0.000123,与前复权方向一致
unadjusted_close,g_premium_neutral_low,406,0.024928,0.001317,0.513580,-0.013543,-0.013457,0.017576,0.015114,0.003316,0.001406,0.000136,-0.000400,0.002716,与前复权方向一致
unadjusted_close,g_premium_and_stock_momentum_neutral_low,406,0.044908,0.000604,0.508642,-0.016308,-0.013457,0.018538,0.015114,0.002516,0.001122,-0.000994,-0.000997,控制动量后同样显著减弱
unadjusted_close,double_low_plus_g_premium_neutral_equal_rank,406,0.051711,0.002367,0.565432,-0.011046,-0.013457,0.017444,0.015114,0.003354,0.002822,0.003333,-0.000993,0.004321,组合增量方向未被复权口径推翻
