variant,role,weeks,mean_excess_pct,win_rate_pct,down_top20_pct,down_benchmark_pct,up_top20_pct,up_benchmark_pct,2025_2026_excess_pct,eventual_abnormal_exit_hits,selected_missing_pct,decision
high_ytm_pretax_min90d_no_tail_filter,诊断反例,410,0.050292,52.567237,-0.786244,-1.365525,1.137313,1.502821,0.019738,765,0.475610,仅用于量化公开风险过滤影响
high_ytm_pretax_min90d,单因子候选,410,0.046540,52.567237,-0.769892,-1.359359,1.124868,1.509336,-0.002589,607,0.378049,偏防守但超额弱且信用陷阱重不单独成策略
double_low_same_domain_min90d,同域基线,410,0.169556,56.234719,-1.017375,-1.359359,1.542008,1.509336,-0.168382,384,0.439024,继续作为B0基线但近期失效
low_price_same_domain_min90d,同域防守基线,410,0.040431,53.545232,-0.791454,-1.359359,1.131026,1.509336,-0.083091,663,0.365854,与YTM结果接近说明YTM大量继承低价信用暴露
high_ytm_aftertax_coupon_min90d,税务敏感性,410,0.043798,51.344743,-0.778294,-1.359359,1.126619,1.509336,0.015870,612,0.365854,排序与税前高度一致不改变闸门
high_ytm_aftertax_all_min90d,保守税务敏感性,410,0.050870,52.078240,-0.792328,-1.359359,1.150446,1.509336,0.055795,626,0.378049,排序与税前高度一致不按近期结果选税法
double_low_plus_ytm_equal_rank_min90d,有限组合,410,0.150257,56.968215,-0.943567,-1.359359,1.448795,1.509336,0.041815,507,0.402439,整体弱于同域双低仅保留一次信用完整后的复核权
low_premium_plus_ytm_equal_rank_min90d,有限组合,410,0.153734,57.457213,-1.087905,-1.359359,1.569616,1.509336,0.002275,388,0.463415,没有证明相对双低的稳定增量
double_low_positive_ytm_min90d,自然阈值约束,361,0.139387,56.509695,-1.168771,-1.033535,1.598008,1.261153,0.163745,428,0.124654,仅覆盖361周且近期80周只覆盖33周不作长期硬门槛
low_premium_positive_ytm_min90d,自然阈值约束,361,0.115399,55.401662,-1.247886,-1.033535,1.613659,1.261153,0.184178,347,0.110803,缩窄证券域且下跌周弱于同域不作长期硬门槛
