变体,周数,周均观察超额,超额胜率,下跌周Top20,下跌周市场,上涨周Top20,上涨周市场,2018-2020周均超额,2021-2022周均超额,2023-2024周均超额,2025-2026周均超额,当前判断
同余额合格域经典双低,410,0.00162813,0.555012,-0.00995816,-0.01343173,0.01526973,0.01513592,0.00296869,0.00233883,0.00249579,-0.00255387,比较基线；历史攻守均衡但近期失效
低剩余余额,410,0.00164845,0.479218,-0.01680661,-0.01343173,0.02085194,0.01513592,0.00578229,0.00135299,0.00017659,-0.00273386,进攻暴露；下行更差且近期失效
低剩余市值,410,0.00198372,0.484108,-0.01284249,-0.01343173,0.01824880,0.01513592,0.00526411,0.00132026,0.00183801,-0.00224690,攻守略平衡；与余额高度重复且旧期集中
双低+低余额等权排名,410,0.00266744,0.581907,-0.01164632,-0.01343173,0.01851758,0.01513592,0.00360603,0.00397113,0.00324828,-0.00126727,保留执行级挑战资格；非正式策略
双低+低剩余市值等权排名,410,0.00256517,0.569682,-0.01142499,-0.01343173,0.01815327,0.01513592,0.00345884,0.00378502,0.00330506,-0.00139242,未证明相对余额的增量
同市占比合格域经典双低,410,0.00176872,0.562347,-0.00982565,-0.01339106,0.01544443,0.01513054,0.00318764,0.00210675,0.00288355,-0.00237406,比较基线
同市占比合格域低余额,410,0.00163169,0.476773,-0.01635723,-0.01339106,0.02048528,0.01513054,0.00538817,0.00180174,0.00015688,-0.00274126,进攻暴露；与全余额域方向一致
低转债市占比,410,0.00000283,0.459658,-0.01855477,-0.01339106,0.01931691,0.01513054,0.00269687,-0.00173489,-0.00246489,0.00107048,不通过收益与防守关；降为暴露描述/约束
双低+低余额等权排名（市占比合格域）,410,0.00269828,0.591687,-0.01160429,-0.01339106,0.01856690,0.01513054,0.00361312,0.00414929,0.00319011,-0.00127467,较市占比增强更强；保留挑战资格
双低+低转债市占比等权排名,410,0.00228691,0.581907,-0.01112668,-0.01339106,0.01743570,0.01513054,0.00389789,0.00251644,0.00345857,-0.00209720,未证明相对余额的增量；不进入策略骨架
