test_family,contract,variant,observations,start,end,strategy_cagr,benchmark_cagr,cagr_excess,event_boundary_mdd,daily_path_mdd_approx,down_event_return,down_event_benchmark,recent_strategy_cagr,recent_benchmark_cagr,mean_event_excess,mean_turnover_sum,increment_vs_reference,gate_decision
主合同,次一日历信号_下一开盘_单边10bp_Top20,B0-safe,279,2018-01-11,2026-07-13,0.174520,0.109924,0.064596,-0.120976,-0.161024,-0.010133,-0.014706,0.152835,0.210591,0.001860,0.518996,,仅作简单基准_近期跑输
主合同,次一日历信号_下一开盘_单边10bp_Top20,F02-126,263,2018-07-11,2026-07-13,0.214515,0.123408,0.091106,-0.151203,-0.163725,-0.012728,-0.014699,0.278609,0.203242,0.002499,0.958555,0.000577,成本敏感_降为窗口边界
主合同,次一日历信号_下一开盘_单边10bp_Top20,F02-252,246,2019-01-22,2026-07-13,0.256208,0.132166,0.124042,-0.141331,-0.151624,-0.011626,-0.015600,0.267813,0.189711,0.003291,0.728862,0.001479,偏均衡免费候选
主合同,次一日历信号_下一开盘_单边10bp_Top20,B2S-balance,279,2018-01-11,2026-07-13,0.229052,0.109924,0.119128,-0.124846,-0.227216,-0.012565,-0.014706,0.203308,0.210591,0.003311,0.459498,0.001451,日频回撤与近期失败_单独骨架降级
主合同,次一日历信号_下一开盘_单边10bp_Top20,B2G,265,2018-06-12,2026-07-13,0.177160,0.115355,0.061805,-0.222371,-0.228393,-0.012924,-0.015254,0.086705,0.207290,0.001760,1.079623,-0.000169,成本回撤近期均失败_淘汰
自然消融,次一日历信号_下一开盘_单边10bp_Top20,F02-252+balance,246,2019-01-22,2026-07-13,0.289358,0.132166,0.157192,-0.162146,-0.191032,-0.017075,-0.015600,0.158068,0.189711,0.004318,0.528455,0.001028,下跌事件与近期失败_不晋级
自然消融,次一日历信号_下一开盘_单边10bp_Top20,B0+F02-252+balance,246,2019-01-22,2026-07-13,0.301689,0.132166,0.169523,-0.138695,-0.188265,-0.013514,-0.015600,0.277190,0.189711,0.004482,0.654472,0.001192,偏进攻免费候选_带选择偏差警示
日历敏感性,前一日历信号_下一开盘_单边10bp_Top20,F02-252,269,2019-01-21,2026-07-13,0.244184,0.131729,0.112455,-0.138988,-0.154934,-0.012732,-0.016154,0.265754,0.189807,0.002754,0.698513,,通过
日历敏感性,前一日历信号_下一开盘_单边10bp_Top20,B0+F02-252+balance,269,2019-01-21,2026-07-13,0.297597,0.131729,0.165868,-0.133048,-0.185589,-0.015255,-0.016154,0.280331,0.189807,0.004028,0.637175,0.001274,通过_回撤代价仍在
成本敏感性,次一日历信号_下一开盘_单边20bp_Top20,F02-252,246,2019-01-22,2026-07-13,0.226575,0.132166,0.094409,-0.146651,-0.154323,-0.012370,-0.015600,0.241503,0.189711,0.002562,0.728862,,通过
成本敏感性,次一日历信号_下一开盘_单边20bp_Top20,B0+F02-252+balance,246,2019-01-22,2026-07-13,0.274124,0.132166,0.141958,-0.142987,-0.193547,-0.014165,-0.015600,0.248688,0.189711,0.003828,0.654472,0.001266,通过_回撤代价仍在
持仓数敏感性,次一日历信号_下一开盘_单边10bp_Top15,F02-252,246,2019-01-22,2026-07-13,0.266262,0.132166,0.134096,-0.149210,-0.169236,-0.011681,-0.015600,0.239770,0.189711,0.003561,0.802981,,通过
持仓数敏感性,次一日历信号_下一开盘_单边10bp_Top15,B0+F02-252+balance,246,2019-01-22,2026-07-13,0.311932,0.132166,0.179767,-0.148213,-0.198656,-0.013221,-0.015600,0.265004,0.189711,0.004763,0.714092,0.001202,通过_回撤代价扩大
持仓数敏感性,次一日历信号_下一开盘_单边10bp_Top25,F02-252,246,2019-01-22,2026-07-13,0.235655,0.132166,0.103489,-0.136577,-0.156641,-0.012064,-0.015600,0.202445,0.189711,0.002775,0.681138,,通过_近期余量变薄
持仓数敏感性,次一日历信号_下一开盘_单边10bp_Top25,B0+F02-252+balance,246,2019-01-22,2026-07-13,0.297868,0.132166,0.165702,-0.122743,-0.161402,-0.013455,-0.015600,0.301374,0.189711,0.004368,0.611870,0.001594,通过
价格帽敏感性,次一日历信号_下一开盘_单边10bp_Top20_价格不高于130,F02-252,246,2019-01-22,2026-07-13,0.200335,0.141374,0.058961,-0.142171,-0.150319,-0.012100,-0.012458,0.150529,0.154338,0.001666,0.740650,0.000098,相对同帽B0增量近零且近期转负_否决硬帽
