strategy,variant,start,end,strategy_cagr,benchmark_cagr,b0_cagr,event_mdd,daily_path_mdd,benchmark_daily_path_mdd,mean_turnover,mean_holdings,cash_share,cagr_2025_2026,benchmark_cagr_2025_2026,judgment
雪球双低,xq_top20_next_open_10bp_risk_safe,2018-01-11,2026-07-13,0.181105,0.113337,,-0.121656,-0.170986,,0.518996,20,0,0.195188,0.215073,保留B0长期基线但近期失效
雪球双低,xq_rank40_next_open_10bp_risk_safe,2018-01-11,2026-07-13,0.139210,0.113337,,-0.136129,-0.182394,,0.191756,20,0,0.171497,0.215073,缓冲降换手但损失大量收益
雪球双低,xq_rank40_profit_next_open_10bp_risk_safe,2018-01-11,2026-07-13,0.131924,0.113337,,-0.141761,-0.174330,,0.104301,20,0,0.164515,0.215073,亏损不卖无稳健增量
雪球双低,xq_rank40_profit_next_open_0bp_risk_safe,2018-01-11,2026-07-13,0.135793,0.113337,,-0.141499,-0.174077,,0.104301,20,0,0.172319,0.215073,零成本不逆转结论
雪球双低,xq_rank40_profit_prior_signal_10bp_risk_safe,2018-01-11,2026-07-13,0.123003,0.114352,,-0.148260,-0.183241,,0.086275,20,0,0.144428,0.213961,前一交易日信号不逆转结论
雪球双低,xq_rank40_profit_next_open_10bp_source_domain,2018-01-11,2026-07-13,0.125948,0.113346,,-0.181163,-0.206362,,0.102867,20,0,0.174790,0.215830,最低风险过滤方向有效
雪球双低,xq_rank40_profit_next_open_10bp_risk_safe_25,2018-01-11,2026-07-13,0.126218,0.113337,,-0.144270,-0.188251,,0.108817,25,0,0.189564,0.215073,扩至25只不构成增量
西南双溢价,risk_safe_start_anchor1_10bp,2019-04-02,2026-07-02,0.058497,0.094598,0.102869,-0.108545,-0.214428,-0.229937,1.507414,29.344828,0,0.119808,0.196755,负超额但略防守
西南双溢价,risk_safe_start_anchor2_10bp,2019-05-07,2026-05-07,0.104840,0.119940,0.159766,-0.128751,-0.183549,-0.224240,1.538238,29.321429,0,0.178692,0.224904,负超额但略防守
西南双溢价,risk_safe_start_anchor3_10bp,2019-06-04,2026-06-02,0.089733,0.109290,0.112739,-0.156246,-0.204701,-0.236219,1.458012,31.785714,0,0.097484,0.194599,负超额但略防守
西南双溢价,risk_safe_end_anchor1_10bp,2019-05-06,2026-05-06,0.099735,0.117541,0.131548,-0.118669,-0.175212,-0.224151,1.515196,29.428571,0,0.167155,0.215409,负超额但略防守
西南双溢价,risk_safe_end_anchor2_10bp,2019-06-03,2026-06-01,0.097581,0.108650,0.106520,-0.149737,-0.217143,-0.234993,1.464727,32.178571,0,0.118843,0.182554,负超额但略防守
西南双溢价,risk_safe_end_anchor3_10bp,2019-04-01,2026-07-01,0.085479,0.099607,0.092991,-0.093610,-0.199296,-0.228257,1.500923,29.344828,0,0.175695,0.193744,负超额但略防守
西南双溢价,risk_safe_start_anchor3_shift_minus_0_5pp,2019-06-04,2026-06-02,0.089180,0.109290,0.112739,-0.160389,-0.209456,-0.236219,1.479131,31.857143,0,0.099518,0.194599,债底误差敏感性不逆转
西南双溢价,risk_safe_start_anchor3_shift_plus_0_5pp,2019-06-04,2026-06-02,0.090588,0.109290,0.112739,-0.150991,-0.199007,-0.236219,1.447679,31.857143,0,0.100257,0.194599,债底误差敏感性不逆转
