审计层,对象,日期或范围,数量或样本,覆盖或变化,基线结果,加入明确低评级过滤后,候选影响,结论,证据边界,来源
免费源,深交所股票简称变更,全历史截至2026-07-19,7445行,转债发行人命中822行和485只正股,,,,免费直取成立,只覆盖深交所简称变更且需按变更日重建状态,https://www.szse.cn/www/market/stock/changename/index.html
免费源,深市转债发行人ST状态,全历史截至2026-07-19,45次进入ST和34次退出ST,37只发行人曾命中ST简称,,,,可形成硬风险状态,尚缺沪市同口径公告状态且简称变化不能替代重整和兑付风险,https://www.szse.cn/www/market/stock/changename/index.html
免费源,巨潮可转债评级目录,2018,76份,,,,,目录可免费检索,目录不等于评级值已结构化且可转债类别会漏公告,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
免费源,巨潮可转债评级目录,2019,143份,,,,,目录可免费检索,目录不等于评级值已结构化且可转债类别会漏公告,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
免费源,巨潮可转债评级目录,2020,295份,,,,,目录可免费检索,目录不等于评级值已结构化且可转债类别会漏公告,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
免费源,巨潮可转债评级目录,2021,236份,,,,,目录可免费检索,目录不等于评级值已结构化且可转债类别会漏公告,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
免费源,巨潮可转债评级目录,2022,608份,,,,,目录可免费检索,目录不等于评级值已结构化且可转债类别会漏公告,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
免费源,巨潮可转债评级目录,2023,830份,,,,,目录可免费检索,目录不等于评级值已结构化且可转债类别会漏公告,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
免费源,巨潮可转债评级目录,2024,719份,,,,,目录可免费检索,目录不等于评级值已结构化且可转债类别会漏公告,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
免费源,巨潮可转债评级目录,2025,533份,,,,,目录可免费检索,目录不等于评级值已结构化且可转债类别会漏公告,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
免费源,巨潮可转债评级目录,2026-01-01至2026-07-19,284份,,,,,目录可免费检索,目录不等于评级值已结构化且可转债类别会漏公告,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
免费源,巨潮可转债评级目录合计,2018-01-01至2026-07-19,3724份和825个发行人代码,当前947只转债对应868个正股中815个有目录记录,,,,候选相关公告目录覆盖高,只证明至少有一份命中公告不证明评级全时段连续,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
候选目录覆盖,B0-safe,2018-2026,432个曾入选发行人,408个有评级目录记录即94.44%,,,,目录首关通过,24个未命中不等于无评级需发行人级补查,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
候选目录覆盖,F02-126,2018-2026,702个曾入选发行人,667个有评级目录记录即95.01%,,,,目录首关通过,35个未命中不等于无评级需发行人级补查,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
候选目录覆盖,F02-252,2019-2026,556个曾入选发行人,535个有评级目录记录即96.22%,,,,目录首关通过,21个未命中不等于无评级需发行人级补查,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
候选目录覆盖,经典双低+F02-252+低余额,2019-2026,428个曾入选发行人,412个有评级目录记录即96.26%,,,,目录首关通过,16个未命中不等于无评级需发行人级补查,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
检索合同,巨潮全局可转债类别与发行人全类别,2018-01至2026-07,全局类别3724份；两候选并集622个发行人逐一补查5742份,622个发行人均至少命中一份“评级”公告,,,,生产检索必须采用发行人级全类别补查,不得只用全局category=可转债目录宣称完整,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
目录缺口,发行人级转债相关评级标题,2018-01至2026-07,4577份和617个发行人,1536份和503个发行人不在全局可转债类别目录,,,,类别遗漏具有系统性,目录命中仍不等于评级值连续状态完成,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
关键词缺口,巨潮全局“信用等级”补查,2018-01至2026-07,候选并集命中145份,112份不在“评级”关键词目录；找回鸿达2021-01-26等关键公告,,,,生产关键词不能只锁定“评级”,应同时覆盖信用等级和债券简称等可维护同义入口,https://static.cninfo.com.cn/finalpage/2021-01-26/1209187497.PDF
