审计层,市场或候选,正股代码,转债代码,风险警示起点,风险警示终点,免费源覆盖或候选命中,候选影响F02-252,候选影响三因子,结论,来源
免费源,深交所证券简称变更,,,全历史,截至2026-07-19,"7445行；映射两候选并集后重建35个区间、30个发行人",,,可按生效日重建深市ST和撤销区间且不依赖商业平台,https://www.szse.cn/www/market/stock/changename/index.html
免费源,沪市候选发行人逐一补查,,,2018-01-01,2026-07-19,"两候选并集273个沪市发行人逐一用“风险警示”全类别查询；返回206份公告、14个发行人、错误0",,,发行人级补查可绕开全局类别漏项并覆盖实施与撤销公告,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
风险区间,沪市,600370,110092,2026-04-29,开放,公告日进入并保持,6次,4次,区间内不得入选且持有中触发则下一可交易开盘退出,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
风险区间,沪市,600388,110068,2022-04-30,2023-07-14,实施到撤销公告日,1次,0次,撤销后恢复资格而非永久黑名单,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
风险区间,沪市,600745,110081,2026-04-30,开放,公告日进入并保持,3次,0次,同时受更早或更晚信用硬状态时取最早有效风险状态,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
风险区间,沪市,600831,110044,2024-07-06,2025-11-07,实施到撤销公告日,0次,0次,虽未命中候选仍保留完整区间以维护可投资池,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
风险区间,沪市,601020,113027,2021-04-29,2022-05-25,实施到撤销公告日,1次,7次,区间内不得入选且持有中触发则下一可交易开盘退出,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
风险区间,沪市,603007,113595,2021-04-30,2026-04-18,实施到撤销公告日,19次,46次,若评级硬状态仍有效则撤销ST后也不恢复,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
风险区间,沪市,603023,113514,2024-04-30,2025-05-31,实施到撤销公告日,0次,0次,虽未命中候选仍保留完整区间以维护可投资池,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
风险区间,沪市,603030,113578,2023-04-29,2024-07-09,实施到撤销公告日,0次,0次,更早评级硬状态已先行排除,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
风险区间,沪市,603363,113620,2024-04-30,2025-05-17,实施到撤销公告日,0次,0次,虽未命中候选仍保留完整区间以维护可投资池,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
风险区间,沪市,603557,113576,2021-04-29,开放,公告日进入并保持,7次,15次,更早ST状态与其后评级硬状态取并集,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
风险区间,沪市,603608,113589,2024-04-30,2025-04-30,实施到撤销公告日,0次,0次,虽未命中候选仍保留完整区间以维护可投资池,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
风险区间,沪市,603810,113649,2019-07-15,2019-11-13,实施到撤销公告日,0次,0次,虽未命中候选仍保留完整区间以维护可投资池,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
风险区间,沪市,603822,113502,2025-12-10,开放,公告日进入并保持,0次,0次,虽未命中候选仍保留完整区间以维护可投资池,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
风险区间,沪市,688066,118027,2026-04-30,开放,公告日进入并保持,3次,3次,评级硬状态已在2025-02-22先行排除,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
候选实际命中,深市,002598,127093,2026-04-08,开放,深交所简称变更生效日,0次,1次,三因子新增一次区间内命中需排除,https://www.szse.cn/www/market/stock/changename/index.html
候选实际命中,深市,300427,123044,2023-05-05,2024-10-09,深交所简称变更生效日,0次,16次,三因子新增十六次区间内命中需排除,https://www.szse.cn/www/market/stock/changename/index.html
点时合同,实施风险警示,,,公开日或简称生效日,撤销公开日或简称恢复日,"信号日已生效则剔除；持有期首次生效则下一可交易开盘退出",,,只使用当时市场已知状态且不把后来撤销反写到历史,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
点时合同,撤销风险警示,,,撤销公开日或简称恢复日,其后,"风险警示单项解除后恢复资格；若评级、重整或兑付硬状态仍有效则继续排除",,,风险警示是区间状态不是永久黑名单,https://www.szse.cn/www/market/stock/changename/index.html
敏感性复算,F02-252,,,2019-01-22,2026-07-13,"246个执行区间；相对评级过滤有8期换券、变化期平均1.125只","评级过滤25.0499%；评级+ST区间24.8926%；减少约0.1573个百分点","",四阶段仍正超额且近似日频回撤约-15.16%；候选保留但绝对值继续受风险状态影响,
敏感性复算,经典双低+F02-252+低余额,,,2019-01-22,2026-07-13,"246个执行区间；相对评级过滤有43期换券、变化期平均1.023只","","评级过滤30.1356%；评级+ST区间29.6799%；减少约0.4557个百分点",四阶段仍正超额且近似日频回撤约-18.83%；偏进攻定位不变但更依赖风险状态维护,
后续闸门,重整与明确兑付风险,,,2018-01-01,2026-07-20,"全局11组关键词99个年份分片已完成；764份候选相关公告完成对象语义首轮",,,"新增硬事件未改变两候选但发行人级差集复核仍待限流解除后重试；精确事件与结果转入重整兑付退市硬风险审计表",http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
