bond_code,bond_name,record_date,redeem_date,holder_cash_date,price,lag_days,status,announcement_title,announcement_url
123008,康泰转债,2019-05-06,2019-05-07,2019-05-14,100.13,7,ok,关于“康泰转债”赎回结果的公告,https://static.cninfo.com.cn/finalpage/2019-05-15/1206267149.PDF
123009,星源转债,2020-03-19,2020-03-20,2020-03-27,100.03,7,scheduled_only,可转换公司债券摘牌公告,https://static.cninfo.com.cn/finalpage/2020-03-27/1207417210.PDF
123016,洲明转债,2020-03-11,2020-03-12,2020-03-19,100.28,7,ok,关于“洲明转债”赎回结果公告,https://static.cninfo.com.cn/finalpage/2020-03-19/1207386643.PDF
123017,寒锐转债,2021-02-23,2021-02-24,2021-03-03,100.26,7,ok,关于“寒锐转债“赎回结果的公告,https://static.cninfo.com.cn/finalpage/2021-03-03/1209330951.PDF
123019,中来转债,2020-03-25,2020-03-26,2020-04-02,100.06,7,ok,关于“中来转债”赎回结果的公告,https://static.cninfo.com.cn/finalpage/2020-04-03/1207451881.PDF
123020,富祥转债,2020-09-03,2020-09-04,2020-09-11,100.41,7,ok,关于“富祥转债”赎回结果的公告,https://static.cninfo.com.cn/finalpage/2020-09-11/1208428469.PDF
123021,万信转2,2020-04-13,2020-04-14,2020-04-21,100.07,7,ok,关于“万信转2”赎回结果的公告,https://static.cninfo.com.cn/finalpage/2020-04-22/1207549916.PDF
123023,迪森转债,2022-09-22,2022-09-23,2022-09-30,100.77,7,ok,关于迪森转债赎回结果的公告,https://static.cninfo.com.cn/finalpage/2022-10-10/1214723222.PDF
123024,岱勒转债,2022-03-21,2022-03-22,2022-03-29,100.004,7,manual_official,岱勒转债赎回实施公告,https://disc.static.szse.cn/download/disc/disk03/finalpage/2022-03-08/e63f614e-94ba-4adb-a071-f3f694b03445.PDF
123026,中环转债,2020-12-14,2020-12-15,2020-12-22,100.41,7,ok,关于“中环转债”赎回结果的公告,https://static.cninfo.com.cn/finalpage/2020-12-22/1208964794.PDF
123027,蓝晓转债,2022-10-21,2022-10-24,2022-10-31,100.74,7,ok,关于蓝晓转债赎回结果的公告,https://static.cninfo.com.cn/finalpage/2022-11-01/1214985481.PDF
123028,清水转债,2021-11-29,2021-11-30,2021-12-07,100.67,7,ok,关于清水转债赎回结果的公告,https://static.cninfo.com.cn/finalpage/2021-12-08/1211836295.PDF
123030,九洲转债,2021-09-14,2021-09-15,2021-09-24,100.07,9,ok,关于九洲转债赎回结果的公告,https://static.cninfo.com.cn/finalpage/2021-09-24/1211145151.PDF
