group,weeks,mean_weekly_excess,positive_excess_share,mean_count,down_week_return,down_week_market,up_week_return,up_week_market,excess_2018_2020,excess_2021_2022,excess_2023_2024,excess_2025_2026,judgment
bond_lt_0,381,-0.000590,0.480315,18.335958,-0.006149,-0.012858,0.008259,0.014606,-0.003189,0.002553,0.000369,-0.002399,防守但负超额且信用风险含义强
bond_0_10,436,0.000169,0.490826,60.380734,-0.005999,-0.013213,0.008966,0.014604,-0.000419,0.001073,0.001205,-0.001176,防守描述保留但近期失效
bond_10_20,436,0.000174,0.513761,73.896789,-0.009534,-0.013213,0.011888,0.014604,-0.000354,0.000806,0.000851,-0.000482,弱增量且阶段不稳
bond_20_30,436,-0.000057,0.516055,61.857798,-0.012134,-0.013213,0.013610,0.014604,-0.000076,0.000476,-0.000344,-0.000342,无独立超额
bond_30_40,436,0.000669,0.534404,39.848624,-0.014212,-0.013213,0.016648,0.014604,-0.000342,0.001511,0.000470,0.001808,观察收益较高但牺牲防守
bond_ge_40,436,-0.000094,0.472477,88.697248,-0.020894,-0.013213,0.020765,0.014604,0.001259,-0.000601,-0.003010,0.001655,高股性高波动且不稳定
bond_10_30,436,0.000047,0.527523,135.754587,-0.010796,-0.013213,0.012698,0.014604,-0.000276,0.000582,0.000390,-0.000450,原研报纯债区间不承担核心排名
conv_15_25,436,-0.000372,0.454128,58.431193,-0.014494,-0.013213,0.014980,0.014604,-0.000663,-0.000795,0.000069,0.000176,原研报转股区间无独立超额
intersection_10_30_15_25,436,0.000192,0.490826,26.993119,-0.010718,-0.013213,0.012897,0.014604,-0.000308,0.001132,0.000769,-0.000788,略防守但近期失效且执行回测负超额
price_low_top20,436,0.000368,0.518349,20,-0.007676,-0.013213,0.010712,0.014604,-0.000847,0.001434,0.002254,-0.001050,防守基准且近期失效
double_low_top20,436,0.001435,0.557339,20,-0.010142,-0.013213,0.014690,0.014604,0.002684,0.002191,0.002322,-0.003112,长期基线但近期明显失效
