date,bond_code,side,reason,price,quantity,notional,fee
2018-01-11,110041,buy,rebalance,102.55,0.0004870799605075567,0.04995004995004994,4.9950049950049936e-05
2018-01-11,128026,buy,rebalance,98.46,0.0005073131215727192,0.04995004995004994,4.9950049950049936e-05
2018-01-11,128023,buy,rebalance,95.99,0.0005203672252323152,0.04995004995004994,4.9950049950049936e-05
2018-01-11,128025,buy,rebalance,99.72,0.0005009030279788402,0.04995004995004994,4.9950049950049936e-05
2018-01-11,128019,buy,rebalance,96.799,0.0005160182434741055,0.04995004995004994,4.9950049950049936e-05
2018-01-11,128018,buy,rebalance,95.708,0.0005219004675685411,0.04995004995004994,4.9950049950049936e-05
2018-01-11,113503,buy,rebalance,101.94,0.0004899946041794186,0.04995004995004994,4.9950049950049936e-05
2018-01-11,123002,buy,rebalance,110.329,0.00045273726717408785,0.04995004995004994,4.9950049950049936e-05
2018-01-11,113016,buy,rebalance,100.02,0.0004994006193766241,0.04995004995004994,4.9950049950049936e-05
2018-01-11,128022,buy,rebalance,105.09,0.00047530735512465446,0.04995004995004994,4.9950049950049936e-05
2018-01-11,128014,buy,rebalance,109.3,0.0004569995420864587,0.04995004995004994,4.9950049950049936e-05
2018-01-11,128021,buy,rebalance,105.5,0.0004734601890999994,0.04995004995004994,4.9950049950049936e-05
2018-01-11,113009,buy,rebalance,116.93,0.000427179081074574,0.04995004995004994,4.9950049950049936e-05
2018-01-11,128015,buy,rebalance,98.002,0.0005096839855314171,0.04995004995004994,4.9950049950049936e-05
2018-01-11,113012,buy,rebalance,96.82,0.0005159063204921497,0.04995004995004994,4.9950049950049936e-05
2018-01-11,113011,buy,rebalance,107.6,0.0004642197950748136,0.04995004995004994,4.9950049950049936e-05
2018-01-11,110039,buy,rebalance,113.44,0.0004403213147924007,0.04995004995004994,4.9950049950049936e-05
2018-01-11,110033,buy,rebalance,122.02,0.0004093595308150298,0.04995004995004994,4.9950049950049936e-05
2018-01-11,110040,buy,rebalance,113.3,0.00044086540114783704,0.04995004995004994,4.9950049950049936e-05
2018-01-11,110034,buy,rebalance,112.81,0.0004427803381796821,0.04995004995004994,4.9950049950049936e-05
2018-01-23,110039,sell,rebalance,117.06,0.0004403213147924007,0.05154401310959843,5.154401310959843e-05
2018-01-23,110033,sell,rebalance,126.8,0.0004093595308150298,0.05190678850734578,5.190678850734578e-05
2018-01-23,110040,sell,rebalance,113.1,0.00044086540114783704,0.04986187686982037,4.986187686982037e-05
2018-01-23,128025,sell,rebalance_resize,101.495,3.367123184203331e-06,0.0003417461675807171,3.4174616758071707e-07
2018-01-23,128022,sell,rebalance_resize,111.001,2.0379862064847207e-05,0.0022621850690601047,2.2621850690601047e-06
2018-01-23,123002,sell,rebalance_resize,112.58,4.1903968851229445e-06,0.0004717548813271411,4.717548813271411e-07
2018-01-23,128021,sell,rebalance_resize,106.985,1.4556402648200308e-06,0.000155731673731771,1.55731673731771e-07
2018-01-23,113011,sell,rebalance_resize,115.0,2.5111911099755608e-05,0.002887869776471895,2.887869776471895e-06
2018-01-23,113017,buy,rebalance,101.25,0.0004982224822764277,0.0504450263304883,5.04450263304883e-05
2018-01-23,110041,buy,rebalance,102.37,6.196858358668899e-06,0.0006343723901769353,6.343723901769353e-07
2018-01-23,128026,buy,rebalance,99.107,2.2087019250698783e-06,0.00021889782168790043,2.1889782168790044e-07
2018-01-23,128023,buy,rebalance,95.987,5.712736341362081e-06,0.000548348423198322,5.483484231983221e-07
2018-01-23,128018,buy,rebalance,95.536,6.662019628164215e-06,0.0006364627071962964,6.364627071962964e-07
2018-01-23,128019,buy,rebalance,97.0,4.5688336186112715e-06,0.00044317686100529336,4.431768610052934e-07
2018-01-23,113503,buy,rebalance,100.85,1.0712236492396838e-05,0.001080329050258221,1.0803290502582212e-06
2018-01-23,113016,buy,rebalance,99.4,8.612637336092452e-06,0.0008560961512075898,8.560961512075898e-07
2018-01-23,128014,buy,rebalance,106.4,1.75818881315079e-05,0.0018707128971924404,1.8707128971924404e-06
2018-01-23,128027,buy,rebalance,106.7,0.00047277437985462326,0.0504450263304883,5.04450263304883e-05
2018-01-23,110042,buy,rebalance,105.73,0.000477111759486317,0.0504450263304883,5.04450263304883e-05
2018-01-23,123002,buy,rebalance,112.58,6.157129398010804e-20,6.931696276280563e-18,6.931696276280562e-21
2018-01-23,128015,buy,rebalance,98.7,1.939194971830582e-06,0.00019139854371967845,1.9139854371967846e-07
2018-01-23,113009,buy,rebalance,117.5,2.5833994544540936e-06,0.000303549435898356,3.03549435898356e-07
2018-01-23,113012,buy,rebalance,96.52,7.2668907380290345e-06,0.0007014002940345624,7.014002940345624e-07
2018-01-23,128021,buy,rebalance,106.985,6.479129108081098e-20,6.931696276280563e-18,6.931696276280562e-21
2018-01-23,113011,buy,rebalance,115.0,6.027561979374402e-20,6.931696276280563e-18,6.931696276280562e-21
2018-01-23,110034,buy,rebalance,112.5,6.079186361040101e-06,0.0006839084656170114,6.839084656170114e-07
2018-01-31,128021,sell,rebalance,103.79,0.00047200454883517944,0.04898935212360328,4.898935212360328e-05
2018-01-31,113012,sell,rebalance,97.81,0.0005231732112301788,0.05117157179042379,5.117157179042379e-05
2018-01-31,113011,sell,rebalance,116.5,0.000439107883975058,0.05115606848309426,5.115606848309426e-05
2018-01-31,110034,sell,rebalance,110.1,0.0004488595245407222,0.04941943365193351,4.941943365193351e-05
2018-01-31,128027,sell,rebalance,105.4,0.00047277437985462326,0.049830419636677295,4.98304196366773e-05
2018-01-31,110042,sell,rebalance,106.46,0.000477111759486317,0.0507933179149133,5.07933179149133e-05
2018-01-31,113017,sell,rebalance_resize,103.16,6.785686561506951e-06,0.000700011425685057,7.000114256850571e-07
2018-01-31,110041,sell,rebalance_resize,102.96,8.854062210117868e-07,9.116142451537357e-05,9.116142451537356e-08
2018-01-31,128018,sell,rebalance_resize,96.5,3.208913663532076e-06,0.0003096601685308453,3.0966016853084535e-07
2018-01-31,113503,sell,rebalance_resize,101.65,1.9698033284685197e-06,0.00020023050833882505,2.0023050833882507e-07
2018-01-31,128019,sell,rebalance_resize,99.016,8.582756114781716e-06,0.0008498301794612265,8.498301794612265e-07
2018-01-31,128022,sell,rebalance_resize,116.2,1.863988681237859e-05,0.002165954847598392,2.165954847598392e-06
2018-01-31,123002,sell,rebalance_resize,113.694,2.642778200101724e-06,0.00030046802468236544,3.004680246823654e-07
2018-01-31,128015,sell,rebalance_resize,100.279,6.067482441328366e-06,0.0006084410717339672,6.084410717339673e-07
2018-01-31,128026,buy,rebalance,99.299,1.022256535379416e-06,0.00010150905170664063,1.0150905170664064e-07
2018-01-31,123005,buy,rebalance,107.58,0.00047076696190714135,0.050645109761970265,5.0645109761970265e-05
2018-01-31,128023,buy,rebalance,96.2,9.110021555995595e-07,8.763840736867763e-05,8.763840736867763e-08
2018-01-31,128025,buy,rebalance,100.711,5.845266171448283e-06,0.000588682601392728,5.886826013927281e-07
2018-01-31,123007,buy,rebalance,109.997,0.0004604226457264313,0.050645109761970265,5.0645109761970265e-05
2018-01-31,113016,buy,rebalance,99.22,2.935378878822721e-06,0.0002912482923567904,2.912482923567904e-07
2018-01-31,128033,buy,rebalance,101.512,0.0004989076144886345,0.050645109761970265,5.0645109761970265e-05
2018-01-31,128032,buy,rebalance,101.11,0.0005008912052415217,0.050645109761970265,5.0645109761970265e-05
2018-01-31,128030,buy,rebalance,108.9,0.0004650606957022063,0.050645109761970265,5.0645109761970265e-05
2018-01-31,128014,buy,rebalance,106.513,1.3836627827798629e-06,0.00014737807398223154,1.4737807398223154e-07
2018-01-31,128022,buy,rebalance,116.2,5.965442057146523e-20,6.93184367040426e-18,6.93184367040426e-21
2018-01-31,123004,buy,rebalance,102.5,0.0004940986318241002,0.050645109761970265,5.0645109761970265e-05
2018-01-31,113009,buy,rebalance,115.9,7.64665202194748e-06,0.000886246969343713,8.86246969343713e-07
2018-02-13,128023,sell,rebalance,93.53,0.0005269909637292768,0.04928946483759926,4.928946483759926e-05
2018-02-13,128019,sell,rebalance,95.01,0.000512004320977935,0.04864553053611361,4.864553053611361e-05
2018-02-13,128033,sell,rebalance,97.514,0.0004989076144886345,0.0486504771192447,4.8650477119244704e-05
2018-02-13,123004,sell,rebalance,102.11,0.0004940986318241002,0.05045241129555887,5.0452411295558874e-05
2018-02-13,123005,sell,rebalance_resize,110.86,2.528828361452308e-05,0.0028034591215060287,2.8034591215060287e-06
2018-02-13,113503,sell,rebalance_resize,102.22,1.560490786262236e-05,0.0015951336817172578,1.5951336817172578e-06
2018-02-13,128025,sell,rebalance_resize,98.704,3.039074642535338e-06,0.000299968823516808,2.9996882351680797e-07
2018-02-13,128015,sell,rebalance_resize,99.99,1.1648644601376766e-05,0.0011647479736916627,1.1647479736916626e-06
2018-02-13,128018,sell,rebalance_resize,94.588,3.2390740668597115e-06,0.00030637753783612637,3.0637753783612637e-07
2018-02-13,123007,sell,rebalance_resize,111.78,1.861045861317618e-05,0.002080277063780833,2.0802770637808332e-06
2018-02-13,113017,buy,rebalance,100.06,2.1225221334385667e-06,0.000212379564671863,2.12379564671863e-07
2018-02-13,110041,buy,rebalance,100.01,1.4153968900455824e-06,0.00014155384297345871,1.415538429734587e-07
2018-02-13,128030,buy,rebalance,103.41,1.2498744723756485e-05,0.0012924951918836581,1.2924951918836582e-06
2018-02-13,113018,buy,rebalance,105.41,0.00046802433585951613,0.049334445242951594,4.93344452429516e-05
2018-02-13,128026,buy,rebalance,94.75,1.0666631471263245e-05,0.0010106633319021925,1.0106633319021926e-06
2018-02-13,128025,buy,rebalance,98.704,7.022697253907742e-20,6.931683097497097e-18,6.931683097497097e-21
2018-02-13,128032,buy,rebalance,98.418,9.039311164927104e-07,8.896309262297958e-05,8.896309262297958e-08
2018-02-13,123002,buy,rebalance,107.497,1.3497165119099286e-05,0.0014509047588078159,1.450904758807816e-06
2018-02-13,113009,buy,rebalance,109.95,1.1744328016112922e-05,0.0012912888653716158,1.2912888653716158e-06
2018-02-13,128027,buy,rebalance,104.6,0.0004716486160894034,0.049334445242951594,4.93344452429516e-05
2018-02-13,128022,buy,rebalance,111.01,8.580202352634617e-06,0.000952488263165969,9.52488263165969e-07
2018-02-13,128014,buy,rebalance,102.097,7.741030729125898e-06,0.0007903360143515668,7.903360143515668e-07
2018-02-13,113016,buy,rebalance,96.05,3.215289563321575e-06,0.0003088285625570373,3.088285625570373e-07
2018-02-13,110033,buy,rebalance,114.01,0.00043272033368083144,0.049334445242951594,4.93344452429516e-05
2018-02-13,110039,buy,rebalance,121.0,0.00040772268795827765,0.049334445242951594,4.93344452429516e-05
2018-02-13,123007,buy,rebalance,111.78,6.201183662101537e-20,6.931683097497097e-18,6.931683097497097e-21
