date,nav,cash,cash_weight,holdings,locked_today,daily_return
2019-01-22,0.9979149577344535,-2.7755575615628914e-16,-2.781356808063269e-16,20,0,-0.0020850422655465106
2019-01-23,0.9988575258387402,-2.7755575615628914e-16,-2.778732191292504e-16,20,0,0.0009445375049057514
2019-01-24,1.0029340360109391,-2.7755575615628914e-16,-2.7674377994014133e-16,20,0,0.0040811728066780795
2019-01-25,1.0095723889821413,-2.7755575615628914e-16,-2.749240759606381e-16,20,0,0.006618932784059783
2019-01-28,1.007368776461612,0.049031847917478125,0.04867318608951009,19,0,-0.002182718688207297
2019-01-29,1.00614089317037,0.049031847917478125,0.04873258631102628,19,0,-0.0012189014787166164
2019-01-30,1.0061754576024595,0.049031847917478125,0.04873091223504145,19,0,3.4353471093595545e-05
2019-01-31,1.007192401233614,-2.0816681711721685e-17,-2.066802895477102e-17,20,0,0.001010702083290349
2019-02-01,1.016402252577612,-2.0816681711721685e-17,-2.0480751256631176e-17,20,0,0.009144083427076843
2019-02-11,1.0226408416119364,-2.0816681711721685e-17,-2.035580906284695e-17,20,0,0.0061379134279790915
2019-02-12,1.027556643753909,-1.3877787807814457e-17,-1.3505618295761871e-17,20,0,0.00480696833330474
2019-02-13,1.0348855577458502,-1.3877787807814457e-17,-1.3409973406182753e-17,20,0,0.007132369817752338
2019-02-14,1.0377643642330925,-1.3877787807814457e-17,-1.3372773517878634e-17,20,0,0.0027817631289712708
2019-02-15,1.035144448524427,-1.3877787807814457e-17,-1.3406619556910056e-17,20,0,-0.00252457667555539
2019-02-18,1.0540141991927752,-1.3877787807814457e-17,-1.3166604224537835e-17,20,0,0.018229099035643292
2019-02-19,1.0472783146524587,-1.3877787807814457e-17,-1.3251289188031958e-17,20,0,-0.006390696202646207
2019-02-20,1.0478646379028287,-1.3877787807814457e-17,-1.3243874548137373e-17,20,0,0.0005598542833999964
2019-02-21,1.0541677731484065,1.3877787807814457e-17,1.316468607873173e-17,20,0,0.006015218967778901
2019-02-22,1.0703978122853692,1.3877787807814457e-17,1.2965074898821471e-17,20,0,0.01539606839667429
2019-02-25,1.097833709634659,1.3877787807814457e-17,1.2641065478334378e-17,20,0,0.025631496098364126
2019-02-26,1.0918351309941714,1.3877787807814457e-17,1.2710515913861488e-17,20,0,-0.005464013891943509
2019-02-27,1.0856711291212764,1.3877787807814457e-17,1.2782681085981259e-17,20,0,-0.005645542717866547
2019-02-28,1.0898630971484469,1.3877787807814457e-17,1.2733514736047813e-17,20,0,0.003861176662736998
2019-03-01,1.0962568401049242,-6.765421556309548e-17,-6.171383665585175e-17,20,0,0.005866556059386019
2019-03-04,1.11042773615444,-6.765421556309548e-17,-6.092626594269978e-17,20,0,0.012926620415120382
2019-03-05,1.1240523696915536,-6.765421556309548e-17,-6.01877789570073e-17,20,0,0.012269716518697349
2019-03-06,1.137860322585802,-6.765421556309548e-17,-5.945739931360856e-17,20,0,0.012284083256759004
2019-03-07,1.132733321144351,-6.765421556309548e-17,-5.972651664802036e-17,20,0,-0.004505826716762251
2019-03-08,1.1227110959031825,-6.765421556309548e-17,-6.025968373339179e-17,20,0,-0.008847824156036577
2019-03-11,1.1554153249657375,-6.765421556309548e-17,-5.855402304370654e-17,20,0,0.02912969256462694
2019-03-12,1.1625627050246412,6.245004513516506e-17,5.3717571418086556e-17,20,0,0.006185983433373288
2019-03-13,1.148153429082832,6.245004513516506e-17,5.4391724619114195e-17,20,0,-0.012394407527036466
2019-03-14,1.1341375993399934,6.245004513516506e-17,5.5063905095384895e-17,20,0,-0.012207279434800489
2019-03-15,1.142285424382806,6.245004513516506e-17,5.467113893089177e-17,20,0,0.007184159177470395
2019-03-18,1.1610012583503244,6.245004513516506e-17,5.378981692397199e-17,20,0,0.01638455115334314
2019-03-19,1.169696925397857,6.245004513516506e-17,5.338993698211483e-17,20,0,0.0074897998473217875
2019-03-20,1.1670105224311706,6.245004513516506e-17,5.351283808912555e-17,20,0,-0.002296665835701539
2019-03-21,1.1771060732881702,-6.938893903907228e-17,-5.894875628773092e-17,20,0,0.008650779631333538
2019-03-22,1.1781421967971493,-6.938893903907228e-17,-5.889691348608878e-17,20,0,0.0008802295158367723
2019-03-25,1.1658091658788203,0.0002450888641219731,0.00021023068894574878,20,0,-0.010468202354399159
2019-03-26,1.1412788606468998,0.0002450888641219731,0.00021474932426510714,20,0,-0.021041441386703164
2019-03-27,1.144021401995419,0.0002450888641219731,0.00021423450968179923,20,0,0.0024030422739667046
2019-03-28,1.1389907389569005,0.0002450888641219731,0.00021518073478492725,20,0,-0.0043973504601783064
2019-03-29,1.1599083293887698,0.0002450888641219731,0.00021130020184537013,20,0,0.01836502239783422
2019-04-01,1.188860700053436,0.0002450888641219731,0.00020615439984764998,20,0,0.02496091279896495
2019-04-02,1.1934497695916249,0.0002450888641219731,0.000205361692101912,20,0,0.003860056554971125
2019-04-03,1.1973375042888694,0.0002450888641219731,0.0002046948861486953,20,0,0.003257560390308667
2019-04-04,1.2023263382840392,0.0002450888641219731,0.00020384554202793566,20,0,0.00416660630549015
2019-04-08,1.204818454608325,0.0002450888641219731,0.00020342389609366433,20,0,0.0020727453478581737
2019-04-09,1.1930806534888438,0.0002450888641219731,0.0002054252270416728,20,1,-0.009742381580050474
2019-04-10,1.1878715719189237,0.0002450888641219731,0.00020632606244297029,20,1,-0.004366076639234384
2019-04-11,1.1722063078558536,-7.632783294297951e-17,-6.511467514843433e-17,21,1,-0.013187674857614406
2019-04-12,1.1681287821289905,-7.632783294297951e-17,-6.53419675216521e-17,21,1,-0.003478505191054193
2019-04-15,1.159266012524155,-7.632783294297951e-17,-6.584151706197728e-17,21,1,-0.007587151126164815
2019-04-16,1.1604360247788512,-7.632783294297951e-17,-6.577513220302309e-17,21,1,0.0010092698673609402
2019-04-17,1.1664786911215754,-7.632783294297951e-17,-6.543439972280153e-17,21,0,0.005207237808629639
2019-04-18,1.1660152864745523,-7.632783294297951e-17,-6.546040504645248e-17,21,0,-0.0003972679917346733
2019-04-19,1.171754315525061,-7.632783294297951e-17,-6.513979247328579e-17,21,0,0.004921915790538689
2019-04-22,1.1651131918202438,0.0005718623354633894,0.0004908212691077465,21,0,-0.00566767590852979
2019-04-23,1.1492365255599113,-8.901299836105991e-17,-7.745402828864366e-17,20,0,-0.013626715731823835
2019-04-24,1.147248268062383,-8.901299836105991e-17,-7.758826126745543e-17,20,0,-0.0017300681394194495
2019-04-25,1.13088303543221,-8.901299836105991e-17,-7.871105637997321e-17,20,0,-0.014264769959350443
2019-04-26,1.1249693144154767,-8.901299836105991e-17,-7.912482342445956e-17,20,0,-0.005229295012346813
2019-04-29,1.113923159148678,-8.901299836105991e-17,-7.99094602082684e-17,20,0,-0.00981907250735825
2019-04-30,1.1232366741278357,-8.901299836105991e-17,-7.924687682600482e-17,20,0,0.00836100309313581
2019-05-06,1.0906888323830455,-8.17486398168656e-17,-7.495138612380677e-17,20,0,-0.028976833195072382
2019-05-07,1.095151361308821,-8.17486398168656e-17,-7.464597379413142e-17,20,0,0.004091477599550863
2019-05-08,1.096147087348884,-8.17486398168656e-17,-7.457816634315106e-17,20,0,0.0009092131692856054
2019-05-09,1.0979852670570474,-8.17486398168656e-17,-7.445331214322955e-17,20,0,0.0016769462140422409
2019-05-10,1.1166442676570056,-8.17486398168656e-17,-7.320920563931641e-17,20,0,0.016993853341921827
2019-05-13,1.1094794866011686,6.505213034913027e-19,5.863301767607621e-19,20,0,-0.006416350545434213
2019-05-14,1.11164144732067,6.505213034913027e-19,5.851898605069282e-19,20,0,0.001948626131091702
2019-05-15,1.1238701096692192,6.505213034913027e-19,5.78822497274855e-19,20,0,0.0110005455248392
2019-05-16,1.1251660207355296,6.505213034913027e-19,5.781558378967505e-19,20,0,0.0011530790392599854
2019-05-17,1.1116522756767875,6.505213034913027e-19,5.851841603034162e-19,20,0,-0.012010445400677972
2019-05-20,1.1032556324590919,6.505213034913027e-19,5.896378720871146e-19,20,0,-0.007553300075406777
2019-05-21,1.1111786299994686,-1.6479873021779667e-17,-1.4830984485174582e-17,20,0,0.007181470284195912
2019-05-22,1.110432374634826,-1.6479873021779667e-17,-1.4840951505218134e-17,20,0,-0.0006715890177289019
2019-05-23,1.1061772523287423,-1.6479873021779667e-17,-1.489804006282535e-17,20,0,-0.0038319508718240858
2019-05-24,1.1035818347214499,-1.6479873021779667e-17,-1.4933077460394478e-17,20,0,-0.002346294503732138
2019-05-27,1.1057722659142557,-1.6479873021779667e-17,-1.4903496433919023e-17,20,0,0.001984838028218139
2019-05-28,1.1044932464495847,-1.6479873021779667e-17,-1.4920754902535206e-17,20,0,-0.001156675297524723
2019-05-29,1.1031769553332744,-1.6479873021779667e-17,-1.4938558081827433e-17,20,0,-0.00119176022175016
2019-05-30,1.09851550079781,-1.6479873021779667e-17,-1.500194854766361e-17,20,0,-0.004225482152186655
2019-05-31,1.0986127491777673,-8.326672684688674e-17,-7.579260927857055e-17,20,0,8.852708940998433e-05
2019-06-03,1.0901414649028922,-8.326672684688674e-17,-7.638157938915202e-17,20,0,-0.007710892014693327
2019-06-04,1.0848200706671258,-8.326672684688674e-17,-7.67562558053343e-17,20,0,-0.004881379533839159
2019-06-05,1.0842728664527517,-8.326672684688674e-17,-7.679499268417336e-17,20,0,-0.0005044193310671519
2019-06-06,1.073172724633015,-8.326672684688674e-17,-7.75893059296311e-17,20,0,-0.010237406250007353
2019-06-10,1.077655853138669,0.0008275399634387651,0.0007679074548971805,20,0,0.004177452895280487
2019-06-11,1.0937456597193909,-6.938893903907228e-17,-6.344156744528208e-17,20,0,0.014930375531168272
2019-06-12,1.0964253346345532,-6.938893903907228e-17,-6.328651559497222e-17,20,0,0.0024499982160841594
2019-06-13,1.0926392170180494,-6.938893903907228e-17,-6.350581048009925e-17,20,0,-0.0034531467824625572
2019-06-14,1.0826226296936756,-6.938893903907228e-17,-6.409337578571182e-17,20,0,-0.009167332792346938
