execution_date,signal_date,ranked_codes
2019-01-22,2019-01-21,113015|127003|123002|128021|113011|113016|123001|128020|110040|110031|113010|110033|128019|113013|110032|128025|128016|113014|110041|128017|110034|128023|128018|127004|128013|128026|128010|113009|128015|128014|110038|113012|113503
2019-01-31,2019-01-30,113015|113016|127003|128019|128021|128020|123002|110031|128025|123001|128016|128024|110032|128017|110034|113011|113014|110040|110041|128029|113013|110033|113009|128026|128023|127004|128018|128010|128013|110038|113012|113017|123003|128014|113503|110042|128015
2019-02-12,2019-02-11,123001|127003|128019|113016|128020|128021|113015|123002|110031|110032|128025|113014|110040|128016|113013|128017|110034|110041|128012|110033|128029|113011|128024|128026|113009|128013|128027|128010|128023|127004|128018|113017|123003|110038|113503|128014|110042|113012|128015|128028
2019-02-21,2019-02-20,123001|113015|127003|128021|128020|123002|113016|128016|128030|128033|128029|110031|128012|123006|110033|128025|128017|113014|128013|113009|128024|127004|128010|123003|110041|110032|110040|113013|128023|113503|128019|128026|113017|128032|128028|128018|110034|113012|113011|110042|128015|128027|128014|110038
2019-03-01,2019-02-28,127003|113015|123001|128020|110033|128021|128016|128029|110031|128033|128024|113016|110041|128012|128030|113011|113017|127004|113503|128013|113009|113013|113014|128028|123003|128023|128032|128010|110042|110040|123002|128019|128018|128017|128025|128026|113012|110034|128014|128027|128015|113018|110038|110032|123006
2019-03-12,2019-03-11,110033|113012|128024|127003|128016|128021|128020|113013|113015|110031|128013|128010|128030|128012|113014|128029|128023|128027|127004|123002|113016|113009|113503|110040|113017|110041|123003|113011|110042|128033|128018|128028|128032|123001|110038|128034|110034|128026|128015|128022|128017|128019|128025|128014|113018|123006
2019-03-21,2019-03-20,110033|128020|128024|113015|113012|128021|110031|128016|128033|127003|113013|128028|128013|128030|128012|123001|110040|127004|113014|128035|128023|128010|128027|113016|113009|123002|110042|128015|128032|128017|128018|110041|128026|123003|113017|113503|128034|128022|113011|110038|128029|128014|110034|128025|113018|128019|123006
2019-04-11,2019-04-10,128012|113008|123003|110033|113013|128020|127003|128029|128016|110031|128024|128021|128030|113009|110040|128033|128010|128027|113012|123001|127004|110041|128023|128035|113504|128013|128028|110038|128017|113014|110042|113017|123002|113011|128026|113019|128015|110043|113505|113016|113503|128022|128018|128014|110034|128034|128032|128019|128025|113018
2019-04-23,2019-04-22,128018|123003|110033|110040|113013|128029|113008|127004|128020|128016|113009|128012|128022|110041|128024|128021|128027|127005|127003|113015|128017|128033|113504|113503|110042|113505|113011|113019|123009|113012|123001|128010|128035|110031|113017|113014|128023|110038|128019|128013|128028|110043|128034|128030|113016|123002|128026|128014|128025|110034|128032|128015
2019-05-06,2019-04-30,123009|128027|128018|110033|123003|113013|113008|128020|128016|110040|113015|127005|128015|113012|128021|128022|128029|113011|127003|127004|110041|128012|128033|123001|110034|128017|128035|128024|128019|110038|123002|113019|113009|128030|113017|113503|113504|110043|128025|113505|113014|128010|128034|113016|128023|128013|128028|128026|110042|128038|110031|128032|128014|128036
2019-05-13,2019-05-10,128018|110033|110040|128016|113008|127005|128015|123003|128020|113015|128027|128022|127003|123001|128021|128012|123007|123009|128029|127004|128026|110041|113019|128033|113011|128035|113012|128017|113009|113504|123002|110038|128030|128024|113505|128019|128034|128010|128023|110034|128037|128025|113017|110043|113013|110042|128028|113016|113014|128013|128038|128032|110031|113503|128014|128036
