date,nav,cash,cash_weight,holdings,locked_today,daily_return
2019-01-22,0.9975756219109886,-2.7755575615628914e-16,-2.7823029157889227e-16,20,0,-0.002424378089011414
2019-01-23,0.9985081050504898,-2.7755575615628914e-16,-2.7797045888000524e-16,20,0,0.0009347493252842565
2019-01-24,1.001358338379875,-2.7755575615628914e-16,-2.771792529389171e-16,20,0,0.00285449193148124
2019-01-25,1.006994797400726,-2.7755575615628914e-16,-2.7562779556828027e-16,20,0,0.00562881318786479
2019-01-28,1.0053998220080325,0.049031847917478125,0.04876850666190628,19,0,-0.0015838963585617094
2019-01-29,1.0026944153060522,0.049031847917478125,0.048900090764455034,19,0,-0.0026908764481148317
2019-01-30,1.0019716801010428,0.049031847917478125,0.048935363035942855,19,0,-0.000720793089077687
2019-01-31,1.0023603494316962,1.3877787807814457e-17,1.3845108513802132e-17,20,0,0.00038790450705583623
2019-02-01,1.0115642242800535,1.3877787807814457e-17,1.3719136634840462e-17,20,0,0.009182201643925358
2019-02-11,1.0177213207994944,1.3877787807814457e-17,1.3636137441743327e-17,20,0,0.006086708457708534
2019-02-12,1.0245515873521656,0.0,0.0,20,0,0.006711332869891562
2019-02-13,1.03377182449537,0.0,0.0,20,0,0.00899929028174462
2019-02-14,1.036416519979593,0.0,0.0,20,0,0.0025582971227853246
2019-02-15,1.0352262031961161,0.0,0.0,20,0,-0.0011484926769599335
2019-02-18,1.0529084677243383,0.0,0.0,20,0,0.017080580527840894
2019-02-19,1.0461361949587555,0.0,0.0,20,0,-0.0064319672347395995
2019-02-20,1.0456861655015017,0.0,0.0,20,0,-0.00043018247473169957
2019-02-21,1.0529276391664097,-1.3877787807814457e-17,-1.3180191393590291e-17,20,0,0.006925092732230187
2019-02-22,1.070899778694582,-1.3877787807814457e-17,-1.2958997736213342e-17,20,0,0.017068731847898366
2019-02-25,1.0976796714405492,-1.3877787807814457e-17,-1.2642839408332873e-17,20,0,0.025006908469634492
2019-02-26,1.0925462161657744,-1.3877787807814457e-17,-1.270224325751429e-17,20,0,-0.004676642383326546
2019-02-27,1.0852133009730487,-1.3877787807814457e-17,-1.2788073824169902e-17,20,0,-0.006711766590945856
2019-02-28,1.0893942531532637,-1.3877787807814457e-17,-1.2738994875037249e-17,20,0,0.003852654751343554
2019-03-01,1.0945859116152952,1.3877787807814457e-17,1.267857338610801e-17,20,0,0.004765637827631508
2019-03-04,1.1116257362736472,1.3877787807814457e-17,1.2484226799511758e-17,20,0,0.015567370708440942
2019-03-05,1.1276086672737256,1.3877787807814457e-17,1.2307273090909687e-17,20,0,0.01437797855747358
2019-03-06,1.1404721751909745,1.3877787807814457e-17,1.2168458038435345e-17,20,0,0.011407776731931163
2019-03-07,1.1334967886337404,1.3877787807814457e-17,1.2243341090134044e-17,20,0,-0.006116226865478858
2019-03-08,1.1205468782339656,1.3877787807814457e-17,1.2384834652956689e-17,20,0,-0.011424743792511238
2019-03-11,1.154225897987444,1.3877787807814457e-17,1.2023459040394381e-17,20,0,0.030055877543077925
2019-03-12,1.167217973172893,1.3877787807814457e-17,1.1889628267194976e-17,20,0,0.01125609398307792
2019-03-13,1.1501281860833927,1.3877787807814457e-17,1.2066296588272826e-17,20,0,-0.014641470130077328
2019-03-14,1.1296254576685956,1.3877787807814457e-17,1.2285300152898873e-17,20,0,-0.017826472442707852
2019-03-15,1.139293802254818,1.3877787807814457e-17,1.2181043889072705e-17,20,0,0.008558894030395336
2019-03-18,1.1591593279949932,1.3877787807814457e-17,1.1972286701793595e-17,20,0,0.017436701315199477
2019-03-19,1.170756287374206,1.3877787807814457e-17,1.1853694878666694e-17,20,0,0.01000462930257573
2019-03-20,1.1694084905943947,1.3877787807814457e-17,1.1867356804259702e-17,20,0,-0.00115121891237846
2019-03-21,1.1815699522060532,-3.4693931941147285e-17,-2.936257127762253e-17,20,0,0.010399669328103656
2019-03-22,1.1797174867378966,-3.4693931941147285e-17,-2.9408678205729946e-17,20,0,-0.0015678000821686133
2019-03-25,1.1688234381761056,-3.4693931941147285e-17,-2.968278253838368e-17,20,0,-0.009234455438915878
2019-03-26,1.1427779467189556,-3.4693931941147285e-17,-3.035929424500838e-17,20,0,-0.02228351229659864
2019-03-27,1.145356516788975,-3.4693931941147285e-17,-3.0290945598678975e-17,20,0,0.0022564051725209033
2019-03-28,1.1406295607780657,-3.4693931941147285e-17,-3.041647624622429e-17,20,0,-0.004127060824835049
