execution_date,signal_date,ranked_codes
2019-01-22,2019-01-21,123002|128021|113016|128025|127003|123001|128019|113015|128014|113011|110040|113010|113503|128017|128020|110033|110041|110038|110034|110032|128026|113012|128015|128010|113013|128018|110031|128016|127004|128023|113014|128013|113009
2019-01-31,2019-01-30,128025|113016|123002|128021|128019|127003|113015|128017|123001|110034|128020|128014|113503|110041|110032|110038|110040|128024|128026|113011|128029|110033|128016|113012|128010|110031|113017|128018|127004|128023|128015|113014|113013|110042|113009|128013|123003
2019-02-12,2019-02-11,128025|123002|113016|128021|128019|123001|127003|128017|128027|128020|113503|110040|110034|110041|128014|110032|113015|128026|110038|110033|128029|128010|113017|113011|128012|128016|110031|113012|113013|113014|127004|128018|128024|128015|128023|110042|113009|128013|128028|123003
2019-02-21,2019-02-20,123002|128033|128021|128025|113016|123001|127003|113503|128030|113015|128017|128020|128029|128019|110033|128014|123006|128010|128016|110041|128027|128012|113017|113012|128026|127004|110040|110032|128024|110038|110031|128015|128023|128032|128018|110034|113009|128013|110042|128028|113014|113011|113013|123003
2019-03-01,2019-02-28,128033|128021|113503|127003|123001|113016|128025|110033|123002|113017|110041|113015|128020|128029|128030|128014|128016|128019|128027|128024|113011|128012|113012|127004|128017|128032|128010|110042|128028|110040|128026|110031|110038|128023|128018|128015|110034|113009|128013|113013|113014|113018|123003|110032|123006
2019-03-12,2019-03-11,113012|128021|113503|123002|127003|113016|110033|128027|128033|128025|128010|128030|113017|128024|128016|128020|128014|110038|113015|128034|128029|123001|128012|128023|110040|113013|110041|127004|110042|128017|128019|128026|128013|128032|128022|110034|128015|128018|110031|113011|128028|113014|113009|113018|123003|123006
2019-03-21,2019-03-20,113012|128033|128021|110033|123001|113016|123002|128027|113503|128025|127003|128020|128024|128030|113015|128014|110040|128028|128010|128016|128017|113017|128034|127004|110042|128012|128015|110038|128026|113013|128023|128032|110041|128022|128013|110031|128018|128019|128035|110034|113009|113014|113018|113011|128029|123003|123006
2019-04-11,2019-04-10,128033|113012|123001|127003|128021|128027|110033|128025|123002|113504|128030|113008|113503|113016|113505|128012|128020|128010|110038|110041|128029|113017|128014|110040|128017|123003|113013|128024|128016|128034|110042|127004|110043|128023|128026|128028|113009|128015|128019|110031|128022|113011|113019|128035|128013|110034|128018|128032|113018|113014
2019-04-23,2019-04-22,128018|128033|128021|113503|113505|128027|123001|128022|110033|113012|123009|128025|110040|113504|127003|110041|128017|128029|113016|123003|127004|128020|113017|128014|110042|123002|128034|128012|113008|110038|113013|128016|128019|128010|113009|128024|127005|113015|110043|113019|113011|128026|128030|128028|128023|128015|128035|128032|110034|128013|113014|110031
2019-05-06,2019-04-30,123009|128027|113012|128021|128018|123001|128033|128025|123002|113503|110033|128015|128022|127003|128020|110040|113016|113505|128038|113008|128019|110041|113504|128017|110038|113017|128034|128016|113015|127005|128030|123003|128029|127004|110034|113011|113013|110043|128012|128014|128036|128010|113019|128024|128035|128026|128028|110042|113009|128023|128032|128013|113014|110031
2019-05-13,2019-05-10,123001|128018|128015|128021|123009|123007|128027|128033|110033|127003|128025|110040|128022|123002|113012|113505|128026|113504|127005|128020|128038|128016|128034|110041|113016|113008|128017|110038|113015|128019|128029|113503|127004|128030|128012|113019|113017|128014|123003|128037|113011|128010|128036|110043|110034|128035|110042|113009|128023|128024|128028|128032|128013|113013|113014|110031
2019-05-21,2019-05-20,123001|128021|123007|123002|127003|128015|128018|128027|128025|128033|128038|128026|113503|123009|113017|128016|128022|113012|128030|110033|110040|110041|113016|113504|128019|113507|113505|128020|113008|128034|113015|110038|128012|128024|128017|128036|128010|127004|128029|123003|128037|113019|127005|110042|113502|128014|110043|113009|128023|128028|128032|113011|110034|128035|128013|113014|113013|110031
2019-05-31,2019-05-30,113012|123001|128021|128027|113505|128018|128033|113503|128026|123007|128038|128015|128025|127003|110040|128030|128022|110033|128034|123009|113504|110041|128016|128019|110038|113008|128020|113011|128017|113017|113019|123002|113016|110043|113015|128014|128037|123003|127004|113507|128012|128036|128010|113502|127005|128028|127006|110042|128024|128029|128023|128032|113508|113009|110034|128035|128013|113013|110031|113014
2019-06-11,2019-06-10,113505|123001|128027|128038|128025|123007|128026|110041|128018|113504|127003|128033|128015|110040|128021|123009|128034|110033|128017|113503|113507|128016|113017|123002|128019|113008|128022|113011|110042|128020|128030|128036|110043|127005|128024|113015|113012|113016|128014|113502|110038|127004|128010|128037|123003|128028|113019|127006|128012|113508|128029|128023|113013|128035|128032|113009|110034|128013|113014|110031
2019-06-21,2019-06-20,113505|123001|113503|113507|128027|123007|128026|128033|127003|128015|128038|128018|128025|113504|110033|110041|128021|113017|128017|123009|128022|110042|128016|128030|128034|110040|113012|113008|123002|128019|128020|113016|110043|113015|123003|127006|128036|113502|127004|128014|113013|113019|127005|110038|128037|113011|128010|128029|128012|128023|128028|128035|113009|113508|128032|128024|110034|128013|113014|110031
2019-07-11,2019-07-10,113505|123001|113507|123009|128021|128038|123002|128025|110041|128030|128033|128016|110033|128015|123007|128018|127003|110042|113019|128027|113504|113503|128022|128017|113008|128020|128019|128026|128034|113015|113509|113011|110038|127005|113012|113013|128036|127006|128024|113502|127004|113017|128014|128029|113016|110040|110043|113009|123003|128010|128028|128012|128023|128037|128035|113508|128032|110034|128013|110031|113014
2019-07-23,2019-07-22,113503|113507|113505|113511|128038|123001|128025|123009|128030|128039|123002|110033|128019|127003|128017|128021|110040|128016|128020|110041|128018|113509|128034|128027|128033|113008|128015|128022|123007|128036|113019|128026|113012|113016|127006|113015|127004|110042|128014|127005|113504|110043|113502|110038|113011|113017|128029|123003|113013|128012|128023|128024|128010|128037|128028|113009|113508|128032|110034|128013|128035|110031|113014
2019-07-31,2019-07-30,113503|113507|128038|113510|113511|123001|128021|128025|113505|128039|123002|127003|123007|110033|128019|128017|123009|128020|128022|128015|128026|128018|128016|113008|113504|113012|128033|128036|128030|110041|113016|123003|127004|128034|113502|110042|128014|128029|128027|127006|113015|113509|113011|110043|110038|127005|113017|113019|128023|128012|113013|128010|128037|128028|113009|128032|113508|128013|110031|110034|128035|113014
2019-08-13,2019-08-12,113507|123001|128038|128036|128021|113510|110044|128039|113511|113504|127003|128025|128040|128027|123009|123002|123007|128017|128016|113016|128020|128030|128018|128033|113505|113008|113015|128022|128015|128026|123003|113012|110033|128034|110041|128019|128029|113502|113019|113503|128014|113011|128012|127005|127006|127004|110045|110038|113509|110042|110043|128023|113017|128010|110034|128028|128037|128032|113009|128013|113013|128035|113508|110031|113014
2019-08-21,2019-08-20,113507|128036|113511|128021|128038|128039|128025|113510|123009|128027|128040|127003|113019|123001|128026|128030|110044|123007|127007|113015|113504|123002|128015|128018|128020|128017|113016|123003|128016|113503|113505|128022|110033|113008|128029|128034|128033|113502|113012|110041|127004|128019|110038|128012|128014|110045|113509|127006|128023|113017|110034|110042|128035|128010|110043|127005|128032|128013|128037|128028|113011|110031|113013|113009|113508|113014
2019-09-02,2019-08-30,113507|128038|113503|128036|113511|128039|128015|123013|128040|113514|128041|128030|128021|113510|128025|123002|127003|123009|123010|128018|110044|113016|123007|128017|123011|128020|128022|113505|123001|128026|127007|128019|113008|113516|123003|110033|128027|128016|128034|128033|128012|113012|113502|128029|113009|113019|127004|113504|110042|113017|110045|128014|113509|110041|128023|127005|128037|110038|110034|127006|128035|113011|128032|128010|128013|110043|128028|113013|113014|113508|110031
2019-09-11,2019-09-10,113507|123013|113503|128040|113511|123012|128030|128015|123004|123010|123014|128021|123007|128038|113514|113510|123009|128036|113505|128025|127003|128018|128022|123011|128026|123002|113504|128017|128019|123003|128020|113517|110033|128033|110044|113016|128029|113008|128041|128023|113012|113502|128016|128034|127004|113516|128012|128039|110041|113515|127007|113509|110042|110034|113009|113019|128014|128035|128013|127005|110038|113011|128028|128010|110031|113013|128037|110043|128032|113017|127006|110045|113014|113508
2019-09-23,2019-09-20,128040|113507|128030|128038|128036|123013|123011|113511|123012|113510|123007|128025|128039|123004|123010|113505|128021|113504|128020|128015|123003|128017|113514|128022|128018|128029|128033|110044|113516|127007|113517|113515|113008|128026|128019|127003|128023|128041|123014|113503|128042|110033|123009|128016|113509|128034|128044|128035|113502|110041|128012|113016|110034|113011|113009|113019|113012|110042|127004|128014|110038|128037|127005|123002|128028|113014|128010|128032|110043|110045|128013|113017|127006|110031|113013|113508
2019-10-08,2019-09-30,128036|113507|128038|128030|123012|123011|113511|123009|113503|123015|128039|128025|123014|113510|113514|110044|128020|128041|123004|128040|123007|127003|128021|123013|113504|128018|123003|127007|128017|113517|128029|113509|113019|113515|123002|128015|113516|128016|128019|128022|123010|128044|128034|113008|127004|113505|128012|110041|128033|110034|113011|128042|113502|113016|128043|110033|110042|113009|128035|113012|128014|127005|110038|128023|128028|110043|128037|113014|128026|128032|128010|113017|113013|110045|128013|128045|113508|127006|110031
2019-10-11,2019-10-10,128036|113507|113511|128038|113510|123011|123012|128025|123015|128030|128040|128039|123014|123009|128019|123007|113514|123013|128041|128020|110044|123003|123004|113503|127003|128017|128021|128018|113509|123010|128029|113504|127004|128015|113011|113515|113516|123002|113019|128016|128034|127007|113517|113008|128033|128044|113505|113502|128022|110033|128012|113009|110034|128042|113016|128035|110041|128043|113012|128014|110043|128023|110042|127005|128037|110038|128026|113017|128032|128028|128010|113014|110045|128045|128013|113013|127006|113508|110031
2019-10-22,2019-10-21,113507|123015|128036|113511|123011|128038|128041|128030|123013|123014|128025|113514|110044|123012|128040|113503|123010|128039|113515|123004|128021|123007|128020|113510|123003|128019|128018|113019|113011|113516|128044|123002|128015|127003|127004|113009|128016|113517|113518|127007|113008|123009|128029|113505|110041|113504|113509|128022|110034|128034|128033|110033|128017|113016|113502|128012|128010|113012|128023|128043|128035|128042|110043|128014|128037|110038|127005|128032|110042|128026|128013|113017|128028|128045|113508|127006|113013|113014|110045|110031
2019-10-31,2019-10-30,123015|113507|123011|128039|113511|128038|128036|123010|123013|128025|123012|110044|128040|128041|123004|128020|113503|123002|113514|128018|123003|128015|123009|123014|128044|123007|113518|128029|113011|127003|113019|128021|113516|113505|128016|127007|113510|128019|113517|113016|128017|113008|128033|128034|113504|113509|127004|128022|113502|128035|110043|110034|128012|128043|113012|128014|128042|128032|128030|128045|110041|110033|127006|128010|128026|127005|110038|110042|113017|128023|113009|113508|128028|113014|128013|113013|110045|110031
2019-11-12,2019-11-11,123011|110044|113511|123015|128038|128025|123012|128039|128036|128040|123010|123002|113503|128041|128019|123007|113514|123004|113515|128044|113518|128020|123014|123003|128022|127003|128029|113509|113016|128021|128018|113504|128016|113517|123009|123013|128015|113510|113008|113012|128034|113516|127007|128012|127004|128037|128033|128043|113011|128017|113019|128014|113505|113502|128030|128035|128042|110042|128032|110034|110043|128028|113508|128010|128045|127006|110041|113009|110033|110038|128026|113017|128023|113014|127005|128013|113013|110045|110031
2019-11-21,2019-11-20,128040|128025|113511|123011|110044|128039|123012|128036|123010|123015|123002|113509|123014|128038|113514|113503|113515|127003|128020|128041|113510|113016|123004|128019|123013|110033|113504|128044|128018|128021|128022|123003|113518|128029|123007|127004|128016|113517|128015|123009|113516|128034|113008|113012|113019|128012|128043|110043|128014|127007|128028|113502|113505|128033|128017|128030|128042|113508|128035|128032|128010|110034|128026|113009|113017|128023|128037|110042|127006|110038|128045|113011|110041|113014|128013|110045|127005|110031|113013
2019-12-11,2019-12-10,128025|128040|113511|128039|110044|128036|113510|123011|123015|128044|123014|123012|113503|123009|113509|123010|123004|123013|110033|123002|128022|128041|113514|113504|127003|128018|123007|128034|113515|127007|113518|123003|128020|128029|128038|113517|113016|128017|127004|128028|113008|128015|113516|128043|128016|113505|128013|128021|128033|128019|128030|113017|113520|113502|128012|128035|110041|128042|128023|110043|113012|128045|128014|113508|110034|128010|128046|110042|128026|128032|128037|110038|113009|113019|113014|127006|113011|113013|127005|110031|110045
2019-12-23,2019-12-20,128040|113514|113511|128036|128025|113503|123014|128019|123010|128039|113510|123015|123013|113509|128044|123012|123009|123004|128041|110044|110033|128022|127003|113504|128017|128018|123002|123016|113518|113521|123011|123003|127007|113515|123007|127004|113519|128023|128020|128033|113019|113516|113517|128028|128015|128030|113520|113008|113502|128021|128034|113012|128013|128010|128016|128026|113017|128012|128014|128042|113505|128035|128038|113508|110034|128029|128043|110047|110043|128032|110042|128037|113016|128045|110041|128046|128048|110038|127005|113014|113011|127006|113009|113013|110045|110031
2019-12-31,2019-12-30,128025|128036|128040|113511|123014|113514|123015|123010|128041|113510|128039|123013|113522|110044|113504|113521|128022|123004|123007|113502|113503|123012|128033|128030|128017|123011|128044|128029|128018|113518|113515|127007|113509|123016|123002|110033|128042|123009|113019|128020|110031|127004|128028|127003|128016|110047|128034|128015|128023|128046|113020|128026|128010|128013|113519|128014|128021|113017|113517|113516|113505|113520|128012|128019|113012|110041|113008|113508|110046|128038|128043|110042|128035|128048|110034|128037|127005|110043|113014|128032|110038|113016|113013|127006|128045|113011|113009|110045
2020-01-13,2020-01-10,113510|113511|128036|123010|128040|128041|123014|128039|123015|128044|123013|128049|113514|128025|123009|127004|110044|123011|123012|128018|113509|113504|128022|113518|128017|128042|113502|123007|127008|128033|110033|123004|113019|113503|128016|110031|128029|123002|128028|128019|128015|127003|113012|113519|128010|110047|128023|113517|128021|128026|113515|128050|113516|128014|110034|113020|113523|128013|128034|113505|127007|128046|128030|128035|110041|113017|123016|128012|113014|128043|113521|128032|113008|128038|113508|113520|123017|113522|110042|128037|110046|128048|113009|127006|113013|127005|128045|110038|113016|110043|113011|110045
2020-01-21,2020-01-20,113510|128036|128051|128039|113511|128041|123011|123015|128040|128049|123014|113514|127004|128044|113524|123013|123010|123012|128025|110044|128042|113509|128017|123007|127008|128022|110033|113502|128018|123009|110034|128015|128028|110031|128029|113518|128010|128021|113504|113517|127007|128033|123004|113012|128050|113515|113019|128019|113521|128014|113503|128013|128034|128023|113008|128035|123017|127003|110046|113508|128026|128030|113020|113505|128046|128016|110042|123002|128043|113014|113519|113017|113516|128012|128038|110047|128045|113522|113520|128032|110038|123016|110041|128048|110043|127006|128037|113016|113013|127005|113009|113011|110045
2020-02-11,2020-02-10,128040|110044|113511|123010|128041|123012|128039|123014|123007|128051|113510|128052|128049|113521|113514|128025|113509|127008|123015|113515|128042|128044|113504|123013|113518|113502|128018|127007|128036|113019|110050|128015|110034|123011|110031|113020|128016|110041|110033|113524|128030|128021|128019|128043|128010|128033|110038|128022|128028|128046|128026|128034|113520|127004|123002|113503|128013|110047|110048|113012|128017|127006|123017|113525|110042|123009|113508|128045|128048|113505|128038|113017|113516|128035|113014|113517|128050|113522|128029|113519|127005|128014|110046|113013|128037|123004|128023|128032|127003|110043|113011|128012|113016|113009|110045
2020-02-21,2020-02-20,128041|113510|128051|128040|123014|110044|128036|128039|123007|128042|123015|113524|113514|127007|113511|123010|128017|123018|127008|123013|128052|128049|128018|128025|127004|128022|110033|113502|128015|113518|113509|128021|110041|123011|110031|113012|128030|128028|128010|128043|110034|123002|110050|128034|128019|128048|113020|123012|123009|128033|128046|128013|128014|113515|128026|113505|113516|113017|113525|110046|110042|128044|128045|128012|128050|128023|128035|113014|127005|110047|113504|113521|128037|113508|113013|113503|127003|128029|110048|113009|110043|123017|128032|113019|123004|128038|113520|113011|113519|110038|127006|128016|113016|113517|110045
2020-03-11,2020-03-10,113526|123014|110044|123012|113511|128036|113517|113509|113527|128041|128039|123018|128021|128028|123013|110038|128025|127004|128051|128052|128040|113504|127007|127008|128019|128022|128018|113505|113518|128049|123002|127003|110034|128042|123017|113515|123015|128015|128033|113020|110050|128010|113012|113524|113521|128046|110033|128045|128043|113502|110031|128037|113019|110041|113525|113514|128034|128029|128013|128048|113503|128012|113014|123010|110048|113520|123011|113009|128044|128014|128017|110047|113516|128023|128030|123007|123004|110042|113508|128050|127005|128026|128035|113017|113519|113016|110043|113013|128032|127006|113011|110045
2020-03-23,2020-03-20,128050|113509|123002|128021|113520|110050|113515|113504|113505|123017|110034|128051|110038|110041|128022|113511|128042|110047|128018|128015|110048|128017|128025|110031|123018|127007|123004|128028|123010|128019|113020|128030|113518|110044|128034|128043|128010|128045|128049|113526|113019|113521|110033|128048|128040|110043|113516|128026|127003|113527|128029|113524|128036|128039|128037|128013|113012|110042|113014|127005|113502|123011|113514|127008|128033|128046|127006|113525|128052|128014|128044|123015|113519|123007|123012|113503|128041|113013|113011|113017|127004|123013|128012|123014|113009|113508|128053|128023|128032|113016|128035|110045
2020-03-31,2020-03-30,113526|123002|128050|113509|123018|113515|128039|113504|128051|113511|113521|110038|110034|113520|110041|110044|128019|128021|110048|128025|110047|128042|128028|128046|113505|110031|128034|128049|127003|128026|128043|123010|128017|110033|127006|127007|128040|128045|113020|128010|123004|113011|128018|113514|113527|113502|128048|127005|123017|110042|110043|128037|113013|128014|128030|128013|113516|123012|128044|113019|113518|128029|123015|113524|128036|113012|123011|113014|113525|128015|123007|113519|128033|127008|128012|128041|128052|113017|113009|123014|123013|113503|113021|128022|127004|128053|113508|128023|128032|113016|110045|128035
2020-04-13,2020-04-10,123014|113520|123012|128050|113509|113526|128051|113514|110044|123002|113521|123004|128039|128054|113515|128040|113504|128041|128021|128025|110034|110038|128036|128042|123015|123018|127008|127003|113505|128049|128056|128029|123013|128030|113502|128028|110031|113518|113019|127007|110052|128019|123010|128015|128045|123017|128046|128017|110041|110051|128010|128014|113524|123007|128053|127004|128018|128034|128026|110033|128013|128043|113017|113525|110047|128044|113022|110048|128048|113014|123011|110042|113012|123020|127006|128033|128052|113503|113528|113516|128037|113519|113020|113527|127005|113013|113508|113011|110043|128022|128023|113016|128012|128032|113009|110045|128035|113021
2020-04-21,2020-04-20,128050|123002|113509|128054|113515|128049|128021|113526|127003|113521|110038|113520|113504|128051|128057|128059|128040|110034|128025|113525|128029|128028|123004|128042|113518|128058|128015|110041|128039|110051|127007|128046|123011|128019|113505|128034|123007|110031|110052|110042|110048|123018|128045|113020|110044|123010|128010|127006|110047|113524|128032|128018|113502|110033|113017|128017|113022|123017|128030|113516|128013|128048|113528|113013|113514|128026|113019|113014|128014|113011|113012|127011|113519|128043|128033|128037|123020|113508|110055|127005|127008|123012|128044|128056|113503|123014|128036|128052|113527|128041|128053|123013|127004|110043|123015|128022|128023|128012|113016|110053|128035|110045|113021|113009
2020-05-06,2020-04-30,128054|123002|113509|128050|128051|127003|123025|113521|113515|128040|113518|113505|110038|123018|110034|128049|113504|128021|128034|128039|128057|128042|110043|128028|128017|128025|113528|128045|123022|113520|128026|110033|128058|110042|113519|128059|123010|123007|128046|110047|113525|113019|110031|110051|113012|128015|128022|110041|113524|128010|128029|128014|113017|113011|128019|113013|123017|128013|123024|113022|128043|110048|113516|123020|127006|113020|110055|113014|128048|110052|123011|128032|113526|113530|128033|123012|113514|127005|113502|127007|123014|128053|128018|128056|128030|128044|113503|123023|123004|128037|110044|128036|128041|123013|113527|128052|113508|127008|123015|110053|127004|127011|128023|128035|110045|113021|113016|113009
2020-05-12,2020-05-11,128050|128054|113509|123002|110038|113521|113505|127003|128051|123025|128025|128049|128039|128021|113525|113503|113520|110043|110034|113526|123007|128028|128042|113019|113518|110055|113524|123018|110051|123017|113528|113532|128040|128034|128029|128026|128057|110033|128014|113504|113519|110042|128046|123022|110031|110041|128045|123010|110047|113515|128058|128059|128056|128044|128010|113012|128019|128043|128017|128048|113022|128063|128023|113020|128053|113530|110048|113014|128015|128013|128022|113011|123011|123020|128030|113514|127005|113017|127006|128035|113502|110052|123024|128033|113009|128037|127007|110044|113516|128036|113013|123012|123014|128018|128041|123015|127008|128052|127004|123013|123004|123023|113527|127011|128032|110053|113508|113016|128062|113021|110045
2020-05-21,2020-05-20,113509|123002|128050|128021|128025|128049|110038|128051|127003|128039|113505|128026|123010|128044|113518|128040|113521|128042|123007|113525|128019|110058|113534|128057|128064|128017|128058|110056|110057|110034|113504|123025|113019|113528|128059|128028|128045|128046|113532|110055|110041|110043|113524|128034|110047|113526|113502|110051|128014|123011|128054|113519|128063|113012|128029|123018|113022|128022|110031|110042|123024|127007|127005|123017|113527|110052|113520|128033|113013|128030|110033|128043|110048|128056|113514|123020|113014|113020|123022|128010|128018|128013|128048|128015|113530|123012|113011|127006|128053|113017|123014|113516|128023|110044|113025|128036|128041|123023|127008|128052|123015|123013|127004|127012|128037|113024|123004|127011|128032|110053|113016|128035|113009|128062|113026|113508|113021|110045
