bond_code,bond_name,last_exchange_trade_date,event_class,status_at_2026-07-19,realized_recovery_or_plan,backtest_treatment,source_grade,source_url
128044,岭南转债,2024-08-09,分期违约债权,到期后未一次兑付且尚未全额清偿,"2025-01-27第一期、2025-07-31第二期、2026-02-10第三期实际支付；剩余本金及约定利息尚待后续清偿",仅在实际到账日确认分期现金；余额保留为受限债权,巨潮原始公告,https://static.cninfo.com.cn/finalpage/2026-02-11/1224975198.PDF
113575,东时转债,2026-04-02,到期违约与预重整债权,未按约兑付且持有人会议未通过清偿提案,不得把约定108元记作到账；拟议方案在法院批准和实际执行前不入账,保留全部未实现债权并单列流动性冻结,巨潮原始公告,https://static.cninfo.com.cn/finalpage/2026-07-09/1225414724.PDF
128114,正邦转债,2023-08-04,持仓规模相关的重整清偿,重整计划已经执行,"单一债权人10万元以内现金全额清偿；超额部分按8.70股/每100元债权获得正邦股票",按预先声明的每户债权额分别建立现金和股票头寸；不得使用统一每张退出价,巨潮原始公告,https://static.cninfo.com.cn/finalpage/2024-01-31/1219044123.PDF
113578,全筑转债,2023-11-28,持仓规模相关的重整清偿,重整计划已经执行,"单一债权人50500元以内现金全额清偿；超额部分70%以股票、30%以信托受益权清偿",按预先声明的每户债权额建立现金股票及信托受益权；信托只按实际分配计收益,巨潮原始公告,https://static.cninfo.com.cn/finalpage/2024-01-22/1218958366.PDF
123015,蓝盾转退,2023-07-28,退市板违约债权,转入退市板后到期且未完成实际兑付,没有识别到截至截点的实际现金回收,最后交易所收盘不是退出价；保留退市板证券与未清偿债权,全国股转系统原始公告,https://www.neeq.com.cn/disclosure/2024/2024-08-09/1723188634_088671.pdf
128085,鸿达转债,2024-01-18,退市板违约债权,转入退市板且多期回售无法支付；到期债务未实际结清,截至截点不确认尚未实际收到的到期或回售款,保留退市板证券与未清偿债权；终局兑付状态仍需官方结果公告,股转公告加公开报道交叉核验,https://www.neeq.com.cn/disclosure/2024/2024-06-13/1718269860_355501.pdf
128100,搜特转债,2023-05-22,破产清算债权,2024-08-07法院受理破产清算并导致债券提前到期,没有识别到截至截点的实际现金回收,停止转让后保留破产债权；只在管理人实际分配时确认回收,全国股转系统原始公告,https://www.neeq.com.cn/disclosure/2024/2024-08-07/1723023923_931995.pdf
110072,广汇转债,2024-07-17,退市板续存证券,交易所退市后在退市板继续转让且债券尚未到期,"已支付2025年度利息；本金仍存续，不构成最终现金退出",延续证券头寸和已到账票息；不得在交易所最后交易日强制结算,全国股转系统原始公告,https://www.neeq.com.cn/disclosure/2025/2025-08-15/19af3514dba74991b70688798f73f384.pdf
123099,普利转退,2025-05-21,退市后续存债券,交易所退市但债券仍存续且尚未到期,"2026-02-09已支付当期利息；本金到期日为2027-02-08",延续债权并按实际到账记录票息；不得在退市日按最后收盘面值或零值结算,公告原文镜像,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=11945851&stockid=300630
127033,中装转2,2025-09-03,持仓规模相关的重整清偿,重整计划裁定执行完毕但持有人实际分配可能滞后,"单一债权人50315元以内现金全额清偿；超额部分58.45%以股票、41.55%以B类信托受益权清偿",按预先声明的每户债权额建立现金股票及信托受益权；仅按实际可用日计入组合,巨潮原始公告,https://static.cninfo.com.cn/finalpage/2025-12-19/1224885818.PDF
